database_name,table_name,original_column_name,column_description,data_format,arbitrary_column_name
formula_1,circuits,url,The URL of the circuit's Wikipedia page.,text,C19
formula_1,status,statusId,The unique identification number for each status.,integer,C121
formula_1,status,status,The status of the race or event.,text,C122
formula_1,drivers,driverId,The unique identification number assigned to each driver.,integer,C31
formula_1,drivers,driverRef,The unique reference identifier for each driver.,text,C32
formula_1,drivers,number,The racing number assigned to the driver.,integer,C33
formula_1,drivers,code,Abbreviated code for drivers.,text,C34
formula_1,drivers,forename,The first name of the driver.,text,C35
formula_1,drivers,surname,The surname of the driver.,text,C36
formula_1,drivers,dob,The date of birth of the driver.,date,C37
formula_1,drivers,nationality,The nationality of the driver.,text,C38
formula_1,drivers,url,The URL of the driver's Wikipedia page.,text,C39
formula_1,driverStandings,driverStandingsId,The unique identification number for driver standing records.,integer,C81
formula_1,driverStandings,raceId,Identifier for the race associated with the driver's standings.,integer,C82
formula_1,driverStandings,driverId,Unique identifier for the driver.,integer,C83
formula_1,driverStandings,points,The number of points a driver has accumulated in a race.,real,C84
formula_1,driverStandings,position,The position of the driver in the race standings.,integer,C85
formula_1,driverStandings,positionText,The position of the driver as a text value.,text,C86
formula_1,driverStandings,wins,The number of wins achieved by the driver.,integer,C87
formula_1,races,raceId,The unique identification number for each race.,integer,C51
formula_1,races,year,The year the race took place.,integer,C52
formula_1,races,round,The round number of the race within the season.,integer,C53
formula_1,races,circuitId,The unique identifier for the circuit where the race took place.,integer,C54
formula_1,races,name,The name of the race.,text,C55
formula_1,races,date,The date of the race.,date,C56
formula_1,races,time,The scheduled start time of the race.,text,C57
formula_1,races,url,The URL of the Wikipedia page for the race.,text,C58
formula_1,constructors,constructorId,This is the unique identifier for each constructor.,integer,C21
formula_1,constructors,constructorRef,This is the unique reference name for each constructor.,text,C22
formula_1,constructors,name,The full name of the constructor.,text,C23
formula_1,constructors,nationality,The nationality of the constructor.,text,C24
formula_1,constructors,url,The URL of the constructor's official webpage.,text,C25
formula_1,constructorResults,constructorResultsId,Unique identifier for each constructor result.,integer,C61
formula_1,constructorResults,raceId,The unique identifier for the race associated with the constructor's results.,integer,C62
formula_1,constructorResults,constructorId,The unique identifier for the constructor.,integer,C63
formula_1,constructorResults,points,Points scored by the constructor in the race.,real,C64
formula_1,constructorResults,status,The status of the constructor associated with the constructor result entry.,text,C65
formula_1,lapTimes,raceId,The identification number of the race during which the lap time was recorded.,integer,C91
formula_1,lapTimes,driverId,The identification number of the driver who recorded the lap time.,integer,C92
formula_1,lapTimes,lap,The lap number of which the lap time was recorded.,integer,C93
formula_1,lapTimes,position,The position of the driver at the end of the lap.,integer,C94
formula_1,lapTimes,time,The lap time recorded for each lap.,text,C95
formula_1,lapTimes,milliseconds,The time in milliseconds for a lap.,integer,C96
formula_1,qualifying,qualifyId,The unique identifier for each qualifying session entry.,integer,C111
formula_1,qualifying,raceId,The ID for the race associated with the qualifying session entry.,integer,C112
formula_1,qualifying,driverId,The ID of the driver associated with the qualifying session entry.,integer,C113
formula_1,qualifying,constructorId,The ID of the constructor associated with the driver in the qualifying session entry.,integer,C114
formula_1,qualifying,number,The driver's car number in the qualifying session entry.,integer,C115
formula_1,qualifying,position,The position of the driver in the qualifying session.,integer,C116
formula_1,qualifying,q1,The time recorded for the driver in the first qualifying session period Q1.,text,C117
formula_1,qualifying,q2,The time recorded for the driver in the second qualifying session period Q2.,text,C118
formula_1,qualifying,q3,The time recorded for the driver in the third qualifying session period Q3.,text,C119
formula_1,pitStops,raceId,The identification number for the race where the pit stop occured.,integer,C101
formula_1,pitStops,driverId,The identification number for the driver that made the pit stop.,integer,C102
formula_1,pitStops,stop,The i:th pit stop number the pit stop corresponds to for the specified driver and race.,integer,C103
formula_1,pitStops,lap,The lap number during which the pit stop occurred.,integer,C104
formula_1,pitStops,time,The timestamp of when the pit stop occurred.,text,C105
formula_1,pitStops,duration,The duration of the pit stop in text format.,text,C106
formula_1,pitStops,milliseconds,The duration of the pit stop in milliseconds.,integer,C107
formula_1,seasons,year,The year the Formula One season took place.,integer,C41
formula_1,seasons,url,The URL linking to the Wikipedia page for the specific Formula One season.,text,C42
formula_1,constructorStandings,constructorStandingsId,Unique identifier for each constructor standing record.,integer,C71
formula_1,constructorStandings,raceId,Identifier for the race associated with the constructor's standings.,integer,C72
formula_1,constructorStandings,constructorId,Identifier for the constructor associated with the standings.,integer,C73
formula_1,constructorStandings,points,The number of points acquired by a constructor in each race.,,C74
formula_1,constructorStandings,position,The overall position of the constructor after the specified race.,integer,C75
formula_1,constructorStandings,positionText,The overall position of the constructor after the specified race in text format.,text,C76
formula_1,constructorStandings,wins,The number of wins achieved by the constructor.,integer,C77
formula_1,results,resultId,This is the unique identifier for each race result.,integer,C131
formula_1,results,raceId,The unique identifier for each race.,integer,C132
formula_1,results,driverId,The identification number of the driver.,integer,C133
formula_1,results,constructorId,The identification number of the constructor associated with the result.,integer,C134
formula_1,results,number,The racing number assigned to the driver.,integer,C135
formula_1,results,grid,The starting position of the driver on the grid.,integer,C136
formula_1,results,position,The finishing position of the driver in the race.,integer,C137
formula_1,results,positionText,The finishing position of the driver in the race as a text value.,text,C138
formula_1,results,positionOrder,The order in which drivers finished the race.,integer,C139
formula_1,results,points,The points scored by the driver in the race.,real,C1310
formula_1,results,laps,The number of laps completed by the driver in the race.,integer,C1311
formula_1,results,time,The finish time of the driver in the race.,text,C1312
formula_1,results,milliseconds,The finishing time of the driver in the race in milliseconds.,integer,C1313
formula_1,results,fastestLap,The number of the fastest lap in the race for the driver.,integer,C1314
formula_1,results,rank,The overall rank of the driver's fastest lap time in the race.,integer,C1315
formula_1,results,fastestLapTime,The fastest lap time recorded by the driver during the race.,text,C1316
formula_1,results,fastestLapSpeed,The speed of the fastest lap achieved by the driver during the race.,text,C1317
formula_1,results,statusId,The status ID associated with the result.,integer,C1318
california_schools,schools,CDSCode,A unique identifier for each school.,text,D21
california_schools,schools,NCESDist,This field represents the 7-digit National Center for Educational Statistics (NCES) school district identification number.,text,D22
california_schools,schools,NCESSchool,This field represents the 5-digit NCES school identification number. The NCESSchool combined with the NCESDist form a unique 12-digit ID for each school.,text,D23
california_schools,schools,StatusType,This field identifies the operational status of the school.,text,D24
california_schools,schools,County,The name of the county where the school is located.,text,D25
california_schools,schools,District,The name of the school district.,text,D26
california_schools,schools,School,The name of the school.,text,D27
california_schools,schools,Street,The street address of the school.,text,D28
california_schools,schools,StreetAbr,"The abbreviated street address of the school, district, or administrative authority’s physical location.",text,D29
california_schools,schools,City,The city where the school is located.,text,D210
california_schools,schools,Zip,The ZIP code of the school's location.,text,D211
california_schools,schools,State,The state where the school is located.,text,D212
california_schools,schools,MailStreet,The mailing address of the school.,text,D213
california_schools,schools,MailStrAbr,Abbreviated mailing street address of the school.,text,D214
california_schools,schools,MailCity,The mailing city for the school's mailing address.,text,D215
california_schools,schools,MailZip,The school's mailing zip code.,text,D216
california_schools,schools,MailState,The state of the school's mailing address.,text,D217
california_schools,schools,Phone,The contact phone number for the school.,text,D218
california_schools,schools,Ext,"The phone number extension of the school, district, or administrative authority.",text,D219
california_schools,schools,Website,"The website address of the school, district, or administrative authority.",text,D220
california_schools,schools,OpenDate,The date the school officially opened.,date,D221
california_schools,schools,ClosedDate,The date the school closed.,date,D222
california_schools,schools,Charter,"This field indicates whether the school is a charter school, with 1 for yes and 0 for no.",integer,D223
california_schools,schools,CharterNum,The charter school number of the school.,text,D224
california_schools,schools,FundingType,Indicates the type of funding for the charter school.,text,D225
california_schools,schools,DOC,The code representing the district's ownership or administrative control of the school.,text,D226
california_schools,schools,DOCType,The District Ownership Code Type is the text description of the District Ownership Code (DOC) category of the school.,text,D227
california_schools,schools,SOC,The School Ownership Code is a numeric code used to identify the type of school ownership.,text,D228
california_schools,schools,SOCType,The School Ownership Code Type is the text description of the type of school ownership.,text,D229
california_schools,schools,EdOpsCode,The Education Option Code is a code representing the type of educational option offered by the school.,text,D230
california_schools,schools,EdOpsName,The name of the educational option offered by the school.,text,D231
california_schools,schools,EILCode,The Educational Instruction Level Code is a short text description of the institution's type relative to the grade range served by the school.,text,D232
california_schools,schools,EILName,The Educational Instruction Level Name is the detailed description of the institution’s type relative to the grade range served by the school.,text,D233
california_schools,schools,GSoffered,The grade span offered is the range of grades (from the lowest to the highest) that the school supports or offers.,text,D234
california_schools,schools,GSserved,"The grade span served by the school, indicating the range of grades in which students are enrolled.",text,D235
california_schools,schools,Virtual,This field identifies the type of virtual instruction offered by the school.,text,D236
california_schools,schools,Magnet,This field identifies whether a school is a magnet school and/or provides a magnet program.,text,D237
california_schools,schools,Latitude,The latitude coordinate of the school.,real,D238
california_schools,schools,Longitude,The longitude coordinate of the school.,real,D239
california_schools,schools,AdmFName1,The first name of the primary administrator at the school.,text,D240
california_schools,schools,AdmLName1,The last name of the first administrator at the school.,text,D241
california_schools,schools,AdmEmail1,The primary email address of the first administrator at the school.,text,D242
california_schools,schools,AdmFName2,The first name of the second administrator at the school.,text,D243
california_schools,schools,AdmLName2,The last name of the second administrator at the school.,text,D244
california_schools,schools,AdmEmail2,The primary email address of the second administrator at the school.,text,D245
california_schools,schools,AdmFName3,The first name of the third administrator at the school.,text,D246
california_schools,schools,AdmLName3,The last name of the third administrator at the school.,text,D247
california_schools,schools,AdmEmail3,The primary email address of the third administrator at the school.,text,D248
california_schools,schools,LastUpdate,The date when the record associated with the school was last updated.,date,D249
california_schools,satscores,cds,The unique identifier for the school or district associated with the SAT score entry.,text,D11
california_schools,satscores,rtype,"The type of the reporting entity (e.g., district or school) associated with the SAT score entry.",text,D12
california_schools,satscores,sname,The name of the school associated with the SAT score entry.,text,D13
california_schools,satscores,dname,The name of the district associated with the SAT score entry.,text,D14
california_schools,satscores,cname,The name of the county associated with the SAT score entry.,text,D15
california_schools,satscores,enroll12,The number of students enrolled at the school in grades 1 through 12 for the given SAT score entry.,integer,D16
california_schools,satscores,NumTstTakr,The number of students who took the SAT test in the specified school.,integer,D17
california_schools,satscores,AvgScrRead,Average scores in Reading for the SAT test in the specified school.,integer,D18
california_schools,satscores,AvgScrMath,The average scores in Math for the SAT test in the specified school.,integer,D19
california_schools,satscores,AvgScrWrite,The average scores in writing for the SAT test in the specified school.,integer,D110
california_schools,satscores,NumGE1500,The number of test takers whose total SAT scores are greater than or equal to 1500 for the specified school.,integer,D111
california_schools,frpm,CDSCode,The County-District-School (CDS) code for the school in California associated with the Free or Reduced-Price Meal entry.,integer,D01
california_schools,frpm,Academic Year,The academic year for which the Free or Reduced-Price Meal data is reported.,integer,D02
california_schools,frpm,County Code,The county for the school in California associated with the Free or Reduced-Price Meal entry.,integer,D03
california_schools,frpm,District Code,The code of the district for the school in California associated with the Free or Reduced-Price Meal entry.,integer,D04
california_schools,frpm,School Code,The school code for the school associated with the Free or Reduced-Price Meal entry.,integer,D05
california_schools,frpm,County Name,The name of the county where the school associated with the Free or Reduced-Price Meal entry is located.,text,D06
california_schools,frpm,District Name,The name of the school district of the school associated with the Free or Reduced-Price Meal entry.,text,D07
california_schools,frpm,School Name,The name of the school associated with the Free or Reduced-Price Meal entry.,text,D08
california_schools,frpm,District Type,The type of district the school associated with the Free or Reduced-Price Meal entry belongs to.,text,D09
california_schools,frpm,School Type,"The type of school, such as elementary, middle, or high school, the school associated with the Free or Reduced-Price Meal entry belongs to.",text,D010
california_schools,frpm,Educational Option Type,The type of educational option provided by the school associated with the Free or Reduced-Price Meal entry.,text,D011
california_schools,frpm,NSLP Provision Status,The status of the school's participation in the National School Lunch Program (NSLP) provision options.,text,D012
california_schools,frpm,Charter School (Y/N),"Indicates whether the school associated with the Free or Reduced-Price Meal entry is a charter school (1 for Yes, 0 for No).",integer,D013
california_schools,frpm,Charter School Number,"The unique identifier assigned to a charter school, for the school associated with the Free or Reduced-Price Meal entry.",text,D014
california_schools,frpm,Charter Funding Type,The type of funding for the charter school associated with the Free or Reduced-Price Meal entry.,text,D015
california_schools,frpm,IRC,The IRC of the school associated with the Free or Reduced-Price Meal entry.,integer,D016
california_schools,frpm,Low Grade,The lowest grade level offered at the school associated with the Free or Reduced-Price Meal entry.,text,D017
california_schools,frpm,High Grade,The highest grade level offered at the school associated with the Free or Reduced-Price Meal entry.,text,D018
california_schools,frpm,Enrollment (K-12),The total number of students at the school associated with the Free or Reduced-Price Meal entry enrolled in grades K-12.,real,D019
california_schools,frpm,Free Meal Count (K-12),The number of students at the school associated with the Free or Reduced-Price Meal entry in grades K-12 who receive free meals.,real,D020
california_schools,frpm,Percent (%) Eligible Free (K-12),The percentage of K-12 students at the school eligible for free meals.,real,D021
california_schools,frpm,FRPM Count (K-12),The count of students at the school eligible for Free or Reduced Price Meals (K-12).,real,D022
california_schools,frpm,Percent (%) Eligible FRPM (K-12),The percentage of students at the school eligible for free or reduced-price meals (K-12).,real,D023
california_schools,frpm,Enrollment (Ages 5-17),The number of students enrolled at the school associated with the Free or Reduced-Price Meal entry aged 5 to 17.,real,D024
california_schools,frpm,Free Meal Count (Ages 5-17),The number of students at the school associated with the Free or Reduced-Price Meal entry aged 5-17 who receive free meals.,real,D025
california_schools,frpm,Percent (%) Eligible Free (Ages 5-17),The percentage of students at the school aged 5-17 eligible for free meals.,real,D026
california_schools,frpm,FRPM Count (Ages 5-17),The count of students at the school aged 5-17 eligible for Free or Reduced-Price Meals (FRPM).,real,D027
california_schools,frpm,Percent (%) Eligible FRPM (Ages 5-17),The percentage of students at the school aged 5-17 eligible for free or reduced-price meals (FRPM).,real,D028
california_schools,frpm,2013-14 CALPADS Fall 1 Certification Status,The certification status of the school associated with the Free or Reduced-Price Meal entry for the 2013-14 CALPADS Fall 1 data submission.,integer,D029
card_games,legalities,id,Unique identifier for each legality record.,integer,E31
card_games,legalities,format,The format of play of the legality associated with the card.,text,E32
card_games,legalities,status,The status of the card's legality in a specific format.,text,E33
card_games,legalities,uuid,A unique identifier for the card.,text,E34
card_games,cards,id,Unique identifier for each card.,integer,E11
card_games,cards,artist,The name of the artist that illustrated the card art.,text,E12
card_games,cards,asciiName,The ASCII code formatted card name with no special unicode characters.,text,E13
card_games,cards,availability,"A list of the card's available formats (e.g., mtgo, paper).",text,E14
card_games,cards,borderColor,The color of the card border.,text,E15
card_games,cards,cardKingdomFoilId,The unique identifier for the card on Card Kingdom's foil product listing.,text,E16
card_games,cards,cardKingdomId,The unique identifier for the card on Card Kingdom.,text,E17
card_games,cards,colorIdentity,"A list of all the colors found in manaCost, colorIndicator, and text.",text,E18
card_games,cards,colorIndicator,A list of all the colors in the color indicator (the symbol prefixed to a card's types).,text,E19
card_games,cards,colors,A list of all the colors in manaCost and colorIndicator.,text,E110
card_games,cards,convertedManaCost,The converted mana cost of the card.,real,E111
card_games,cards,duelDeck,The indicator for which duel deck the card is in.,text,E112
card_games,cards,edhrecRank,The card's rank on EDHRec.,integer,E113
card_games,cards,faceConvertedManaCost,The converted mana cost or mana value for the face for either half or part of the card.,real,E114
card_games,cards,faceName,The name on the face of the card.,text,E115
card_games,cards,flavorName,The promotional card name printed above the true card name on special cards that has no game function.,text,E116
card_games,cards,flavorText,The italicized text found below the rules text that has no game function.,text,E117
card_games,cards,frameEffects,The visual frame effects applied to the card.,text,E118
card_games,cards,frameVersion,The version of the card frame style.,text,E119
card_games,cards,hand,The starting maximum hand size total modifier of the card.,text,E120
card_games,cards,hasAlternativeDeckLimit,Indicates if the card allows a value other than 4 copies in a deck.,integer,E121
card_games,cards,hasContentWarning,Indicates if the card has been marked for having sensitive content.,integer,E122
card_games,cards,hasFoil,Indicates if the card is available in foil.,integer,E123
card_games,cards,hasNonFoil,Indicates whether the card is available in non-foil.,integer,E124
card_games,cards,isAlternative,Indicates if the card is an alternate variation to an original printing.,integer,E125
card_games,cards,isFullArt,Indicates whether the card features full artwork.,integer,E126
card_games,cards,isOnlineOnly,Indicates if the card is exclusively available in online game variations.,integer,E127
card_games,cards,isOversized,Indicates whether the card is oversized.,integer,E128
card_games,cards,isPromo,Indicates if the card is a promotional printing.,integer,E129
card_games,cards,isReprint,Indicates whether the card has been reprinted.,integer,E130
card_games,cards,isReserved,Indicates if the card is on the Magic: The Gathering Reserved List.,integer,E131
card_games,cards,isStarter,Indicates if the card is included in a starter deck such as Planeswalker or Brawl decks.,integer,E132
card_games,cards,isStorySpotlight,Indicates whether the card is a Story Spotlight card.,integer,E133
card_games,cards,isTextless,Indicates whether the card lacks a text box.,integer,E134
card_games,cards,isTimeshifted,Indicates whether the card is time-shifted.,integer,E135
card_games,cards,keywords,A list of keywords associated with the card.,text,E136
card_games,cards,layout,"The type of card layout. For a token card, this will be ""token"".",text,E137
card_games,cards,leadershipSkills,A list of formats the card is legal to be a commander in.,text,E138
card_games,cards,life,The starting life total modifier. A plus or minus character precedes an integer.,text,E139
card_games,cards,loyalty,The starting loyalty value of the card.,text,E140
card_games,cards,manaCost,"The mana cost of the card, represented in a specific format using curly braces for each value.",text,E141
card_games,cards,mcmId,The ID for the card on the Magic Card Market (MCM).,text,E142
card_games,cards,mcmMetaId,The meta ID for the card on the Magic Card Market (MCM).,text,E143
card_games,cards,mtgArenaId,The unique identifier for the card in the Magic: The Gathering Arena database.,text,E144
card_games,cards,mtgjsonV4Id,The Magic: The Gathering json v4 ID of the card.,text,E145
card_games,cards,mtgoFoilId,The unique identifier for the foil version of the card on Magic: The Gathering Online (MTGO).,text,E146
card_games,cards,mtgoId,The unique identifier for the card in the Magic: The Gathering Online (MTGO) system.,text,E147
card_games,cards,multiverseId,The unique identifier for the card in the Magic: The Gathering Multiverse database.,text,E148
card_games,cards,name,The name of the card.,text,E149
card_games,cards,number,The number assigned to the card within its set.,text,E150
card_games,cards,originalReleaseDate,The original release date of the card.,text,E151
card_games,cards,originalText,The original text of the card as it was first printed.,text,E152
card_games,cards,originalType,The original type of the card.,text,E153
card_games,cards,otherFaceIds,Identifiers for other faces of the card.,text,E154
card_games,cards,power,The power of the card.,text,E155
card_games,cards,printings,"A list of set printing codes where the card was printed, formatted in uppercase.",text,E156
card_games,cards,promoTypes,A list of promotional types associated with a card.,text,E157
card_games,cards,purchaseUrls,Links that navigate to websites where the card can be purchased.,text,E158
card_games,cards,rarity,The rarity of the card.,text,E159
card_games,cards,scryfallId,The unique identifier for the card on Scryfall.,text,E160
card_games,cards,scryfallIllustrationId,The unique identifier for the card's illustration on Scryfall.,text,E161
card_games,cards,scryfallOracleId,The unique identifier for the card's Oracle data on Scryfall.,text,E162
card_games,cards,setCode,The set printing code that the card is from.,text,E163
card_games,cards,side,The identifier of the card side.,text,E164
card_games,cards,subtypes,A list of card subtypes found after em-dash.,text,E165
card_games,cards,supertypes,A list of card supertypes found before em-dash.,text,E166
card_games,cards,tcgplayerProductId,The unique identifier for the product on TCGplayer.,text,E167
card_games,cards,text,The rules text of the card.,text,E168
card_games,cards,toughness,The toughness of the card.,text,E169
card_games,cards,type,"The type of the card, including any supertypes and subtypes.",text,E170
card_games,cards,types,"A list of all card types, including Un‑sets and gameplay variants.",text,E171
card_games,cards,uuid,The uuid of the card.,text,E172
card_games,cards,variations,The uuid of variations of the card.,text,E173
card_games,cards,watermark,The name of the watermark on the card.,text,E174
card_games,sets,id,Unique identifier for each set.,integer,E41
card_games,sets,baseSetSize,The number of cards in the base set.,integer,E42
card_games,sets,block,The name of the block to which the set belongs.,text,E43
card_games,sets,booster,A breakdown of possibilities and weights of cards in a booster pack.,text,E44
card_games,sets,code,The unique code identifying each set.,text,E45
card_games,sets,isFoilOnly,Indicates whether the set is exclusively available in foil.,integer,E46
card_games,sets,isForeignOnly,Indicates whether the set is exclusively available outside the United States.,integer,E47
card_games,sets,isNonFoilOnly,Indicates if the set is exclusively available in non-foil format.,integer,E48
card_games,sets,isOnlineOnly,Indicates if the set is exclusively available in online game formats.,integer,E49
card_games,sets,isPartialPreview,Indicates if the set is still in preview (spoiled).,integer,E410
card_games,sets,keyruneCode,The matching Keyrune code for set image icons.,text,E411
card_games,sets,mcmId,The Magic Card Market identifier for the set.,integer,E412
card_games,sets,mcmIdExtras,The split Magic Card Market set identifier if a set is printed in two sets. This identifier represents the second set's identifier.,integer,E413
card_games,sets,mcmName,The name of the set as listed on Magic Card Market.,text,E414
card_games,sets,mtgoCode,The Magic: The Gathering Online code for the set.,text,E415
card_games,sets,name,The name of the set.,text,E416
card_games,sets,parentCode,"The parent set code for set variations like promotions, guild kits, etc.",text,E417
card_games,sets,releaseDate,The release date of the set in ISO 8601 format.,date,E418
card_games,sets,tcgplayerGroupId,The group identifier of the set on TCGplayer.,integer,E419
card_games,sets,totalSetSize,"The total number of cards in the set, including promotional and related supplemental products.",integer,E420
card_games,sets,type,The type of the set.,text,E421
card_games,foreign_data,id,The ID identifying the foreign data of a card.,integer,E21
card_games,foreign_data,flavorText,The foreign flavor text of the card.,text,E22
card_games,foreign_data,language,The language of the card.,text,E23
card_games,foreign_data,multiverseid,The foreign multiverse identifier of the card.,integer,E24
card_games,foreign_data,name,The foreign name of the card.,text,E25
card_games,foreign_data,text,The foreign language text of the card.,text,E26
card_games,foreign_data,type,"The foreign type of the card, including any supertypes and subtypes.",text,E27
card_games,foreign_data,uuid,Unique identifier referencing the related card.,text,E28
card_games,rulings,id,Unique identifier for each ruling.,integer,E61
card_games,rulings,date,The date when the ruling was issued.,date,E62
card_games,rulings,text,Details about the ruling text.,text,E63
card_games,rulings,uuid,Unique identifier linking each ruling to a specific card.,text,E64
card_games,set_translations,id,Unique identifier for each translation entry.,integer,E51
card_games,set_translations,language,The language of the card set translation.,text,E52
card_games,set_translations,setCode,The set code for the translated set.,text,E53
card_games,set_translations,translation,The translation of the set name into the specified language of the translation.,text,E54
european_football_2,Player,id,Unique identifier for each player.,integer,F21
european_football_2,Player,player_api_id,The api ID of the player.,integer,F22
european_football_2,Player,player_name,The name of the player.,text,F23
european_football_2,Player,player_fifa_api_id,The unique identifier for the player in the FIFA API.,integer,F24
european_football_2,Player,birthday,The player's date of birth.,text,F25
european_football_2,Player,height,The player's height in centimeters.,integer,F26
european_football_2,Player,weight,The player's weight in pounds.,integer,F27
european_football_2,Match,id,This is the unique identifier for each match.,integer,F71
european_football_2,Match,country_id,The identifier for the country where the match took place.,integer,F72
european_football_2,Match,league_id,The identifier for the league associated with the match.,integer,F73
european_football_2,Match,season,The season during which the match took place.,text,F74
european_football_2,Match,stage,The stage of the match within the season.,integer,F75
european_football_2,Match,date,The date of the match.,text,F76
european_football_2,Match,match_api_id,The unique identifier for the match API.,integer,F77
european_football_2,Match,home_team_api_id,The API ID for the home team in the match.,integer,F78
