,database_name,table_name,original_column_name,llm_column_description,data_format
185,california_schools,schools,MailCity,The mailing city for the school's mailing address.,text
186,california_schools,schools,MailZip,The school's mailing zip code.,text
187,california_schools,schools,MailState,The state of the school's mailing address.,text
188,california_schools,schools,Phone,The contact phone number for the school.,text
189,california_schools,schools,Ext,"The phone number extension of the school, district, or administrative authority.",text
190,california_schools,schools,Website,"The website address of the school, district, or administrative authority.",text
191,california_schools,schools,OpenDate,The date the school officially opened.,date
192,california_schools,schools,ClosedDate,The date the school closed.,date
193,california_schools,schools,Charter,"This field indicates whether the school is a charter school, with 1 for yes and 0 for no.",integer
194,california_schools,schools,CharterNum,The charter school number of the school.,text
195,california_schools,schools,FundingType,Indicates the type of funding for the charter school.,text
196,california_schools,schools,DOC,The code representing the district's ownership or administrative control of the school.,text
197,california_schools,schools,DOCType,The District Ownership Code Type is the text description of the District Ownership Code (DOC) category of the school.,text
198,california_schools,schools,SOC,The School Ownership Code is a numeric code used to identify the type of school ownership.,text
199,california_schools,schools,SOCType,The School Ownership Code Type is the text description of the type of school ownership.,text
200,california_schools,schools,EdOpsCode,The Education Option Code is a code representing the type of educational option offered by the school.,text
201,california_schools,schools,EdOpsName,The name of the educational option offered by the school.,text
202,california_schools,schools,EILCode,The Educational Instruction Level Code is a short text description of the institution's type relative to the grade range served by the school.,text
203,california_schools,schools,EILName,The Educational Instruction Level Name is the detailed description of the institution’s type relative to the grade range served by the school.,text
204,california_schools,schools,GSoffered,The grade span offered is the range of grades (from the lowest to the highest) that the school supports or offers.,text
205,california_schools,schools,GSserved,"The grade span served by the school, indicating the range of grades in which students are enrolled.",text
206,california_schools,schools,Virtual,This field identifies the type of virtual instruction offered by the school.,text
207,california_schools,schools,Magnet,This field identifies whether a school is a magnet school and/or provides a magnet program.,text
208,california_schools,schools,Latitude,The latitude coordinate of the school.,real
209,california_schools,schools,Longitude,The longitude coordinate of the school.,real
210,california_schools,schools,AdmFName1,The first name of the primary administrator at the school.,text
211,california_schools,schools,AdmLName1,The last name of the first administrator at the school.,text
212,california_schools,schools,AdmEmail1,The primary email address of the first administrator at the school.,text
213,california_schools,schools,AdmFName2,The first name of the second administrator at the school.,text
214,california_schools,schools,AdmLName2,The last name of the second administrator at the school.,text
215,california_schools,schools,AdmEmail2,The primary email address of the second administrator at the school.,text
216,california_schools,schools,AdmFName3,The first name of the third administrator at the school.,text
217,california_schools,schools,AdmLName3,The last name of the third administrator at the school.,text
218,california_schools,schools,AdmEmail3,The primary email address of the third administrator at the school.,text
219,california_schools,schools,LastUpdate,The date when the record associated with the school was last updated.,date
220,california_schools,satscores,cds,The unique identifier for the school or district associated with the SAT score entry.,text
221,california_schools,satscores,rtype,"The type of the reporting entity (e.g., district or school) associated with the SAT score entry.",text
222,california_schools,satscores,sname,The name of the school associated with the SAT score entry.,text
223,california_schools,satscores,dname,The name of the district associated with the SAT score entry.,text
224,california_schools,satscores,cname,The name of the county associated with the SAT score entry.,text
225,california_schools,satscores,enroll12,The number of students enrolled at the school in grades 1 through 12 for the given SAT score entry.,integer
226,california_schools,satscores,NumTstTakr,The number of students who took the SAT test in the specified school.,integer
227,california_schools,satscores,AvgScrRead,Average scores in Reading for the SAT test in the specified school.,integer
228,california_schools,satscores,AvgScrMath,The average scores in Math for the SAT test in the specified school.,integer
229,california_schools,satscores,AvgScrWrite,The average scores in writing for the SAT test in the specified school.,integer
230,california_schools,satscores,NumGE1500,The number of test takers whose total SAT scores are greater than or equal to 1500 for the specified school.,integer
231,california_schools,frpm,CDSCode,The County-District-School (CDS) code for the school in California associated with the Free or Reduced-Price Meal entry.,integer
232,california_schools,frpm,Academic Year,The academic year for which the Free or Reduced-Price Meal data is reported.,integer
233,california_schools,frpm,County Code,The county for the school in California associated with the Free or Reduced-Price Meal entry.,integer
234,california_schools,frpm,District Code,The code of the district for the school in California associated with the Free or Reduced-Price Meal entry.,integer
235,california_schools,frpm,School Code,The school code for the school associated with the Free or Reduced-Price Meal entry.,integer
236,california_schools,frpm,County Name,The name of the county where the school associated with the Free or Reduced-Price Meal entry is located.,text
237,california_schools,frpm,District Name,The name of the school district of the school associated with the Free or Reduced-Price Meal entry.,text
238,california_schools,frpm,School Name,The name of the school associated with the Free or Reduced-Price Meal entry.,text
239,california_schools,frpm,District Type,The type of district the school associated with the Free or Reduced-Price Meal entry belongs to.,text
240,california_schools,frpm,School Type,"The type of school, such as elementary, middle, or high school, the school associated with the Free or Reduced-Price Meal entry belongs to.",text
241,california_schools,frpm,Educational Option Type,The type of educational option provided by the school associated with the Free or Reduced-Price Meal entry.,text
242,california_schools,frpm,NSLP Provision Status,The status of the school's participation in the National School Lunch Program (NSLP) provision options.,text
243,california_schools,frpm,Charter School (Y/N),"Indicates whether the school associated with the Free or Reduced-Price Meal entry is a charter school (1 for Yes, 0 for No).",integer
244,california_schools,frpm,Charter School Number,"The unique identifier assigned to a charter school, for the school associated with the Free or Reduced-Price Meal entry.",text
245,california_schools,frpm,Charter Funding Type,The type of funding for the charter school associated with the Free or Reduced-Price Meal entry.,text
246,california_schools,frpm,IRC,The IRC of the school associated with the Free or Reduced-Price Meal entry.,integer
247,california_schools,frpm,Low Grade,The lowest grade level offered at the school associated with the Free or Reduced-Price Meal entry.,text
248,california_schools,frpm,High Grade,The highest grade level offered at the school associated with the Free or Reduced-Price Meal entry.,text
249,california_schools,frpm,Enrollment (K-12),The total number of students at the school associated with the Free or Reduced-Price Meal entry enrolled in grades K-12.,real
250,california_schools,frpm,Free Meal Count (K-12),The number of students at the school associated with the Free or Reduced-Price Meal entry in grades K-12 who receive free meals.,real
251,california_schools,frpm,Percent (%) Eligible Free (K-12),The percentage of K-12 students at the school eligible for free meals.,real
252,california_schools,frpm,FRPM Count (K-12),The count of students at the school eligible for Free or Reduced Price Meals (K-12).,real
253,california_schools,frpm,Percent (%) Eligible FRPM (K-12),The percentage of students at the school eligible for free or reduced-price meals (K-12).,real
254,california_schools,frpm,Enrollment (Ages 5-17),The number of students enrolled at the school associated with the Free or Reduced-Price Meal entry aged 5 to 17.,real
255,california_schools,frpm,Free Meal Count (Ages 5-17),The number of students at the school associated with the Free or Reduced-Price Meal entry aged 5-17 who receive free meals.,real
256,california_schools,frpm,Percent (%) Eligible Free (Ages 5-17),The percentage of students at the school aged 5-17 eligible for free meals.,real
257,california_schools,frpm,FRPM Count (Ages 5-17),The count of students at the school aged 5-17 eligible for Free or Reduced-Price Meals (FRPM).,real
258,california_schools,frpm,Percent (%) Eligible FRPM (Ages 5-17),The percentage of students at the school aged 5-17 eligible for free or reduced-price meals (FRPM).,real
259,california_schools,frpm,2013-14 CALPADS Fall 1 Certification Status,The certification status of the school associated with the Free or Reduced-Price Meal entry for the 2013-14 CALPADS Fall 1 data submission.,integer
260,card_games,legalities,id,Unique identifier for each legality record.,integer
261,card_games,legalities,format,The format of play of the legality associated with the card.,text
262,card_games,legalities,status,The status of the card's legality in a specific format.,text
263,card_games,legalities,uuid,A unique identifier for the card.,text
264,card_games,cards,id,Unique identifier for each card.,integer
265,card_games,cards,artist,The name of the artist that illustrated the card art.,text
266,card_games,cards,asciiName,The ASCII code formatted card name with no special unicode characters.,text
267,card_games,cards,availability,"A list of the card's available formats (e.g., mtgo, paper).",text
268,card_games,cards,borderColor,The color of the card border.,text
269,card_games,cards,cardKingdomFoilId,The unique identifier for the card on Card Kingdom's foil product listing.,text
270,card_games,cards,cardKingdomId,The unique identifier for the card on Card Kingdom.,text
271,card_games,cards,colorIdentity,"A list of all the colors found in manaCost, colorIndicator, and text.",text
272,card_games,cards,colorIndicator,A list of all the colors in the color indicator (the symbol prefixed to a card's types).,text
273,card_games,cards,colors,A list of all the colors in manaCost and colorIndicator.,text
274,card_games,cards,convertedManaCost,The converted mana cost of the card.,real
275,card_games,cards,duelDeck,The indicator for which duel deck the card is in.,text
276,card_games,cards,edhrecRank,The card's rank on EDHRec.,integer
277,card_games,cards,faceConvertedManaCost,The converted mana cost or mana value for the face for either half or part of the card.,real
278,card_games,cards,faceName,The name on the face of the card.,text
279,card_games,cards,flavorName,The promotional card name printed above the true card name on special cards that has no game function.,text
280,card_games,cards,flavorText,The italicized text found below the rules text that has no game function.,text
281,card_games,cards,frameEffects,The visual frame effects applied to the card.,text
282,card_games,cards,frameVersion,The version of the card frame style.,text
283,card_games,cards,hand,The starting maximum hand size total modifier of the card.,text
284,card_games,cards,hasAlternativeDeckLimit,Indicates if the card allows a value other than 4 copies in a deck.,integer
285,card_games,cards,hasContentWarning,Indicates if the card has been marked for having sensitive content.,integer
286,card_games,cards,hasFoil,Indicates if the card is available in foil.,integer
287,card_games,cards,hasNonFoil,Indicates whether the card is available in non-foil.,integer
288,card_games,cards,isAlternative,Indicates if the card is an alternate variation to an original printing.,integer
289,card_games,cards,isFullArt,Indicates whether the card features full artwork.,integer
290,card_games,cards,isOnlineOnly,Indicates if the card is exclusively available in online game variations.,integer
291,card_games,cards,isOversized,Indicates whether the card is oversized.,integer
292,card_games,cards,isPromo,Indicates if the card is a promotional printing.,integer
293,card_games,cards,isReprint,Indicates whether the card has been reprinted.,integer
294,card_games,cards,isReserved,Indicates if the card is on the Magic: The Gathering Reserved List.,integer
295,card_games,cards,isStarter,Indicates if the card is included in a starter deck such as Planeswalker or Brawl decks.,integer
296,card_games,cards,isStorySpotlight,Indicates whether the card is a Story Spotlight card.,integer
297,card_games,cards,isTextless,Indicates whether the card lacks a text box.,integer
298,card_games,cards,isTimeshifted,Indicates whether the card is time-shifted.,integer
299,card_games,cards,keywords,A list of keywords associated with the card.,text
300,card_games,cards,layout,"The type of card layout. For a token card, this will be ""token"".",text
301,card_games,cards,leadershipSkills,A list of formats the card is legal to be a commander in.,text
302,card_games,cards,life,The starting life total modifier. A plus or minus character precedes an integer.,text
303,card_games,cards,loyalty,The starting loyalty value of the card.,text
304,card_games,cards,manaCost,"The mana cost of the card, represented in a specific format using curly braces for each value.",text
305,card_games,cards,mcmId,The ID for the card on the Magic Card Market (MCM).,text
306,card_games,cards,mcmMetaId,The meta ID for the card on the Magic Card Market (MCM).,text
307,card_games,cards,mtgArenaId,The unique identifier for the card in the Magic: The Gathering Arena database.,text
308,card_games,cards,mtgjsonV4Id,The Magic: The Gathering json v4 ID of the card.,text
309,card_games,cards,mtgoFoilId,The unique identifier for the foil version of the card on Magic: The Gathering Online (MTGO).,text
310,card_games,cards,mtgoId,The unique identifier for the card in the Magic: The Gathering Online (MTGO) system.,text
311,card_games,cards,multiverseId,The unique identifier for the card in the Magic: The Gathering Multiverse database.,text
312,card_games,cards,name,The name of the card.,text
313,card_games,cards,number,The number assigned to the card within its set.,text
314,card_games,cards,originalReleaseDate,The original release date of the card.,text
315,card_games,cards,originalText,The original text of the card as it was first printed.,text
316,card_games,cards,originalType,The original type of the card.,text
317,card_games,cards,otherFaceIds,Identifiers for other faces of the card.,text
318,card_games,cards,power,The power of the card.,text
319,card_games,cards,printings,"A list of set printing codes where the card was printed, formatted in uppercase.",text
320,card_games,cards,promoTypes,A list of promotional types associated with a card.,text
321,card_games,cards,purchaseUrls,Links that navigate to websites where the card can be purchased.,text
322,card_games,cards,rarity,The rarity of the card.,text
323,card_games,cards,scryfallId,The unique identifier for the card on Scryfall.,text
324,card_games,cards,scryfallIllustrationId,The unique identifier for the card's illustration on Scryfall.,text
325,card_games,cards,scryfallOracleId,The unique identifier for the card's Oracle data on Scryfall.,text
326,card_games,cards,setCode,The set printing code that the card is from.,text
327,card_games,cards,side,The identifier of the card side.,text
328,card_games,cards,subtypes,A list of card subtypes found after em-dash.,text
329,card_games,cards,supertypes,A list of card supertypes found before em-dash.,text
330,card_games,cards,tcgplayerProductId,The unique identifier for the product on TCGplayer.,text
331,card_games,cards,text,The rules text of the card.,text
332,card_games,cards,toughness,The toughness of the card.,text
333,card_games,cards,type,"The type of the card, including any supertypes and subtypes.",text
334,card_games,cards,types,"A list of all card types, including Un‑sets and gameplay variants.",text
335,card_games,cards,uuid,The uuid of the card.,text
336,card_games,cards,variations,The uuid of variations of the card.,text
337,card_games,cards,watermark,The name of the watermark on the card.,text
338,card_games,sets,id,Unique identifier for each set.,integer
339,card_games,sets,baseSetSize,The number of cards in the base set.,integer
340,card_games,sets,block,The name of the block to which the set belongs.,text
341,card_games,sets,booster,A breakdown of possibilities and weights of cards in a booster pack.,text
342,card_games,sets,code,The unique code identifying each set.,text
343,card_games,sets,isFoilOnly,Indicates whether the set is exclusively available in foil.,integer
344,card_games,sets,isForeignOnly,Indicates whether the set is exclusively available outside the United States.,integer
345,card_games,sets,isNonFoilOnly,Indicates if the set is exclusively available in non-foil format.,integer
346,card_games,sets,isOnlineOnly,Indicates if the set is exclusively available in online game formats.,integer
347,card_games,sets,isPartialPreview,Indicates if the set is still in preview (spoiled).,integer
348,card_games,sets,keyruneCode,The matching Keyrune code for set image icons.,text
349,card_games,sets,mcmId,The Magic Card Market identifier for the set.,integer
350,card_games,sets,mcmIdExtras,The split Magic Card Market set identifier if a set is printed in two sets. This identifier represents the second set's identifier.,integer
351,card_games,sets,mcmName,The name of the set as listed on Magic Card Market.,text
352,card_games,sets,mtgoCode,The Magic: The Gathering Online code for the set.,text
353,card_games,sets,name,The name of the set.,text
354,card_games,sets,parentCode,"The parent set code for set variations like promotions, guild kits, etc.",text
355,card_games,sets,releaseDate,The release date of the set in ISO 8601 format.,date
356,card_games,sets,tcgplayerGroupId,The group identifier of the set on TCGplayer.,integer
357,card_games,sets,totalSetSize,"The total number of cards in the set, including promotional and related supplemental products.",integer
358,card_games,sets,type,The type of the set.,text
359,card_games,foreign_data,id,The ID identifying the foreign data of a card.,integer
360,card_games,foreign_data,flavorText,The foreign flavor text of the card.,text
361,card_games,foreign_data,language,The language of the card.,text
362,card_games,foreign_data,multiverseid,The foreign multiverse identifier of the card.,integer
363,card_games,foreign_data,name,The foreign name of the card.,text
364,card_games,foreign_data,text,The foreign language text of the card.,text
365,card_games,foreign_data,type,"The foreign type of the card, including any supertypes and subtypes.",text
366,card_games,foreign_data,uuid,Unique identifier referencing the related card.,text
367,card_games,rulings,id,Unique identifier for each ruling.,integer
368,card_games,rulings,date,The date when the ruling was issued.,date
369,card_games,rulings,text,Details about the ruling text.,text
370,card_games,rulings,uuid,Unique identifier linking each ruling to a specific card.,text
371,card_games,set_translations,id,Unique identifier for each translation entry.,integer
372,card_games,set_translations,language,The language of the card set translation.,text
373,card_games,set_translations,setCode,The set code for the translated set.,text
374,card_games,set_translations,translation,The translation of the set name into the specified language of the translation.,text
375,european_football_2,Player,id,Unique identifier for each player.,integer
376,european_football_2,Player,player_api_id,The api ID of the player.,integer
377,european_football_2,Player,player_name,The name of the player.,text
378,european_football_2,Player,player_fifa_api_id,The unique identifier for the player in the FIFA API.,integer
379,european_football_2,Player,birthday,The player's date of birth.,text
380,european_football_2,Player,height,The player's height in centimeters.,integer
381,european_football_2,Player,weight,The player's weight in pounds.,integer
382,european_football_2,Match,id,This is the unique identifier for each match.,integer
383,european_football_2,Match,country_id,The identifier for the country where the match took place.,integer
384,european_football_2,Match,league_id,The identifier for the league associated with the match.,integer
385,european_football_2,Match,season,The season during which the match took place.,text
386,european_football_2,Match,stage,The stage of the match within the season.,integer
387,european_football_2,Match,date,The date of the match.,text
388,european_football_2,Match,match_api_id,The unique identifier for the match API.,integer
389,european_football_2,Match,home_team_api_id,The API ID for the home team in the match.,integer
390,european_football_2,Match,away_team_api_id,The API ID of the away team in the match.,integer
391,european_football_2,Match,home_team_goal,The number of goals scored by the home team in the match.,integer
392,european_football_2,Match,away_team_goal,The number of goals scored by the away team in the match.,integer
393,european_football_2,Match,home_player_X1,The home player X1 in the match.,
394,european_football_2,Match,home_player_X2,The home player X2 in the match.,
395,european_football_2,Match,home_player_X3,The home player X3 in the match.,
396,european_football_2,Match,home_player_X4,The home player X4 in the match.,
397,european_football_2,Match,home_player_X5,The home player X5 in the match.,
398,european_football_2,Match,home_player_X6,The home player X6 in the match.,
399,european_football_2,Match,home_player_X7,The home player X7 in the match.,
400,european_football_2,Match,home_player_X8,The home player X8 in the match.,
401,european_football_2,Match,home_player_X9,The home player X9 in the match.,
402,european_football_2,Match,home_player_X10,The home player X10 in the match.,
403,european_football_2,Match,home_player_X11,The home player X11 in the match.,
