,question_id,sql_gold,sql_pred,execution_accuracy,used_metadata
10,10,SELECT T2.`FRPM Count (Ages 5-17)` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.AvgScrRead DESC LIMIT 1,"SELECT frpm.FRPM_Count_Ages_5_17
FROM frpm
JOIN satscores ON frpm.CDSCode = satscores.cds
WHERE satscores.rtype = 'S'
AND satscores.AvgScrRead = (
    SELECT MAX(satscores2.AvgScrRead)
    FROM satscores satscores2
    WHERE satscores2.rtype = 'S'
)
GROUP BY frpm.CDSCode
HAVING frpm.CDSCode = (
    SELECT satscores.cds
    FROM satscores
    JOIN frpm ON satscores.cds = frpm.CDSCode
    WHERE satscores.rtype = 'S'
    AND satscores.AvgScrRead = (
        SELECT MAX(satscores2.AvgScrRead)
        FROM satscores satscores2
        WHERE satscores2.rtype = 'S'
    )
    GROUP BY frpm.CDSCode
    LIMIT 1
);",0,qwen2_metadata
11,11,SELECT T2.CDSCode FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.`Enrollment (K-12)` + T2.`Enrollment (Ages 5-17)` > 500,"SELECT CDSCode
FROM schools
WHERE Enrollment12 > 500;",0,qwen2_metadata
12,12,SELECT MAX(CAST(T1.`Free Meal Count (Ages 5-17)` AS REAL) / T1.`Enrollment (Ages 5-17)`) FROM frpm AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE CAST(T2.NumGE1500 AS REAL) / T2.NumTstTakr > 0.3,"SELECT MAX(Percent (%)\ Eligible FRPM (Ages 5-17))
FROM satscores
JOIN frpm ON satscores.cds = frpm.CDSCode
WHERE AvgScrRead > 0.3 AND AvgScrMath > 0.3 AND AvgScrWrite > 0.3 AND FRPM Count (Ages 5-17) > 0;",0,qwen2_metadata
13,13,SELECT T1.Phone FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds ORDER BY CAST(T2.NumGE1500 AS REAL) / T2.NumTstTakr DESC LIMIT 3,"SELECT schools.Phone
FROM schools
JOIN satscores ON schools.CDSCode = satscores.cds
WHERE satscores.NumTstTakr > 0
ORDER BY satscores.AvgScrMath DESC, satscores.AvgScrRead DESC, satscores.AvgScrWrite DESC
LIMIT 3;",0,qwen2_metadata
14,14,SELECT T1.NCESSchool FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T2.`Enrollment (Ages 5-17)` DESC LIMIT 5,"SELECT NCESSchool
FROM schools
JOIN frpm ON schools.CDSCode = frpm.CDSCode
WHERE frpm.Enrollment (Ages 5-17) IS NOT NULL
ORDER BY frpm.Enrollment (Ages 5-17) DESC
LIMIT 5;",0,qwen2_metadata
15,15,SELECT T1.District FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T1.StatusType = 'Active' ORDER BY T2.AvgScrRead DESC LIMIT 1,"SELECT `District Name` AS district_name, AVG(AvgScrRead) AS average_reading_score
FROM satscores
JOIN schools ON satscores.cds = schools.CDSCode
WHERE StatusType = 'Active' AND rtype = 'D'
GROUP BY `District Name`
ORDER BY average_reading_score DESC
LIMIT 1;",0,qwen2_metadata
16,16,SELECT COUNT(T1.CDSCode) FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T1.StatusType = 'Merged' AND T2.NumTstTakr < 100 AND T1.County = 'Alameda',"SELECT COUNT(*)
FROM satscores
WHERE cds IN (
    SELECT CDSCode
    FROM schools
    WHERE County = 'Alameda' AND County LIKE '%Merged%'
)
AND NumTstTakr < 100;",1,qwen2_metadata
17,17,SELECT T1.CharterNum FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T2.AvgScrWrite = 499,"SELECT CharterNum
FROM satscores
JOIN frpm ON satscores.cds = frpm.CDSCode
WHERE AvgScrWrite = 499 AND Charter = 1;",0,qwen2_metadata
18,18,SELECT COUNT(T1.CDSCode) FROM frpm AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`County Name` = 'Contra Costa' AND T2.NumTstTakr <= 250,"SELECT COUNT(*)
FROM schools
JOIN satscores ON schools.CDSCode = satscores.cds
WHERE schools.County = 'Contra Costa' AND satscores.Charter = 0 AND satscores.NumTstTakr <= 250;",0,qwen2_metadata
19,19,SELECT T1.Phone FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds ORDER BY T2.AvgScrMath DESC LIMIT 1,"SELECT schools.Phone
FROM schools
JOIN frpm ON schools.CDSCode = frpm.CDSCode
JOIN satscores ON schools.CDSCode = satscores.cds
WHERE satscores.AvgScrMath = (
    SELECT MAX(satscores.AvgScrMath)
    FROM satscores
)
GROUP BY schools.Phone;",0,qwen2_metadata
20,20,SELECT COUNT(T1.`School Name`) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Amador' AND T1.`Low Grade` = 9 AND T1.`High Grade` = 12,"SELECT COUNT(*)
FROM frpm
WHERE County = 'Amador'
AND Low Grade = '9'
AND High Grade = '12';",0,qwen2_metadata
21,21,SELECT COUNT(CDSCode) FROM frpm WHERE `County Name` = 'Los Angeles' AND `Free Meal Count (K-12)` > 500 AND `Free Meal Count (K-12)` < 700,"SELECT COUNT(*)
FROM frpm
WHERE County = 'Los Angeles'
AND Free Meal Count (K-12) > 500
AND FRPM Count (K-12) < 700;",0,qwen2_metadata
22,22,SELECT sname FROM satscores WHERE cname = 'Contra Costa' AND sname IS NOT NULL ORDER BY NumTstTakr DESC LIMIT 1,"SELECT s.School
FROM schools AS s
JOIN satscores AS sc ON s.CDSCode = sc.cds
WHERE s.County = 'Contra Costa'
ORDER BY sc.NumTstTakr DESC
LIMIT 1;",0,qwen2_metadata
23,23,"SELECT T1.School, T1.StreetAbr FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.`Enrollment (K-12)` - T2.`Enrollment (Ages 5-17)` > 30","SELECT School, Street, StreetAbr
FROM schools
JOIN frpm ON schools.CDSCode = frpm.CDSCode
WHERE ABS(frpm.Enrollment(K-12) - frpm.Enrollment(Ages 5-17)) > 30;",0,qwen2_metadata
24,24,SELECT T2.`School Name` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE CAST(T2.`Free Meal Count (K-12)` AS REAL) / T2.`Enrollment (K-12)` > 0.1 AND T1.NumGE1500 > 0,"SELECT schools.School
FROM schools
JOIN frpm ON schools.CDSCode = frpm.CDSCode
JOIN satscores ON schools.CDSCode = satscores.cds
WHERE frpm.`Percent (%) Eligible Free (K-12)` > 0.1 AND satscores.NumGE1500 > 0;",0,qwen2_metadata
25,25,"SELECT T1.sname, T2.`Charter Funding Type` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T2.`District Name` LIKE 'Riverside%' GROUP BY T1.sname, T2.`Charter Funding Type` HAVING CAST(SUM(T1.AvgScrMath) AS REAL) / COUNT(T1.cds) > 400","SELECT schools.FundingType
FROM schools
JOIN satscores ON schools.CDSCode = satscores.cds
WHERE schools.County = 'Riverside' AND satscores.AvgScrMath > 400;",0,qwen2_metadata
26,26,"SELECT T1.`School Name`, T2.Zip, T2.Street, T2.City, T2.State FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Monterey' AND T1.`Free Meal Count (Ages 5-17)` > 800 AND T1.`School Type` = 'High Schools (Public)'","SELECT School, Street, StreetAbr, City, Zip, State, MailStreet, MailStrAbr, MailCity, MailZip, MailState
FROM schools
JOIN frpm ON schools.CDSCode = frpm.CDSCode
WHERE District = 'Monterey' AND SchoolType = 'High School' AND AgeGroup = '15-17' AND Percent (%)\ Eligible FRPM (Ages 15-17) > 80;",0,qwen2_metadata
27,27,"SELECT T2.School, T1.AvgScrWrite, T2.Phone, strftime('%Y', T2.OpenDate), strftime('%Y', T2.ClosedDate) FROM schools AS T2 LEFT JOIN satscores AS T1 ON T2.CDSCode = T1.cds WHERE strftime('%Y', T2.OpenDate) > '1991' AND strftime('%Y', T2.ClosedDate) < '2000'","SELECT schools.School, avg(satscores.AvgScrWrite) AS Average_Writing_Score, schools.Phone
FROM schools
JOIN satscores ON schools.CDSCode = satscores.cds
WHERE schools.OpenDate > '1991-01-01' AND (schools.ClosedDate IS NULL OR schools.ClosedDate < '2000-01-01')
GROUP BY schools.School, schools.Phone;",0,qwen2_metadata
28,28,"SELECT T2.School, T2.DOC FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.FundingType = 'Locally funded' AND (T1.`Enrollment (K-12)` - T1.`Enrollment (Ages 5-17)`) > (SELECT AVG(T3.`Enrollment (K-12)` - T3.`Enrollment (Ages 5-17)`) FROM frpm AS T3 INNER JOIN schools AS T4 ON T3.CDSCode = T4.CDSCode WHERE T4.FundingType = 'Locally funded')","SELECT schools.School, schools.DOCType
FROM schools
JOIN frpm ON schools.CDSCode = frpm.CDSCode
WHERE frpm.FundingType = 'Locally Funded'
AND (frpm.Enrollment(K-12) - frpm.Enrollment(Ages 15-17)) >
(
    SELECT AVG((frpm.Enrollment(K-12) - frpm.Enrollment(Ages 15-17)))
    FROM frpm
    WHERE frpm.FundingType = 'Locally Funded'
)
ORDER BY (frpm.Enrollment(K-12) - frpm.Enrollment(Ages 15-17)) DESC;",0,qwen2_metadata
29,29,SELECT T2.OpenDate FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`Enrollment (K-12)` DESC LIMIT 1,"SELECT OpenDate
FROM schools
WHERE SchoolType = 'First-through-twelfth-grade'
AND Enrollment (K-12) = (SELECT MAX(Enrollment (K-12)) FROM schools)
AND SchoolType IS NOT NULL;",0,qwen2_metadata
30,30,SELECT T2.City FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode GROUP BY T2.City ORDER BY SUM(T1.`Enrollment (K-12)`) ASC LIMIT 5,"SELECT City
FROM schools
JOIN frpm ON schools.CDSCode = frpm.CDSCode
WHERE frpm.LowGrade = '1' AND frpm.HighGrade = '12'
GROUP BY City
ORDER BY COUNT(frpm.CDSCode) ASC
LIMIT 5;",0,qwen2_metadata
31,31,"SELECT CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)` FROM frpm ORDER BY `Enrollment (K-12)` DESC LIMIT 9, 2","SELECT Percent (%)\ Eligible Free (K-12)
FROM frpm
WHERE School Code IN (
    SELECT School Code
    FROM (
        SELECT School Code, ROW_NUMBER() OVER (ORDER BY Enrollment (K-12) DESC) AS rank
        FROM frpm
        WHERE Low Grade <= 12 AND High Grade >= 1
        LIMIT 10
    ) AS ranked_schools
)
ORDER BY rank;",0,qwen2_metadata
32,32,SELECT CAST(T1.`FRPM Count (K-12)` AS REAL) / T1.`Enrollment (K-12)` FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.SOC = 66 ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 5,"SELECT `School Name`, Percent(`FRPM Count (K-12)`) as `Eligible Free or Reduced Price Meal Rate`
FROM frpm
WHERE `Educational Option Type` = '66'
ORDER BY `FRPM Count (K-12)` DESC
LIMIT 5;",0,qwen2_metadata
33,33,"SELECT T2.Website, T1.`School Name` FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Free Meal Count (Ages 5-17)` BETWEEN 1900 AND 2000 AND T2.Website IS NOT NULL","SELECT School, Website
FROM schools
JOIN frpm ON schools.CDSCode = frpm.CDSCode
WHERE frpm.FRPM Count (Ages 5-17) BETWEEN 1900 AND 2000;",0,qwen2_metadata
34,34,SELECT CAST(T2.`Free Meal Count (Ages 5-17)` AS REAL) / T2.`Enrollment (Ages 5-17)` FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.AdmFName1 = 'Kacey' AND T1.AdmLName1 = 'Gibson',"SELECT Percent (% ) Eligible Free (Ages 5-17)
FROM frpm
WHERE School Name = 'Kacey Gibson';",0,qwen2_metadata
35,35,SELECT T2.AdmEmail1 FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter School (Y/N)` = 1 ORDER BY T1.`Enrollment (K-12)` ASC LIMIT 1,"SELECT AdmEmail1
FROM schools
JOIN frpm ON schools.CDSCode = frpm.CDSCode
WHERE Charter = 1
AND Enrollment (K-12) = (
    SELECT MIN(Enrollment (K-12))
    FROM frpm
    WHERE Charter = 1
)
AND SchoolType = 'Charter School'
LIMIT 1;",0,qwen2_metadata
36,36,"SELECT T2.AdmFName1, T2.AdmLName1, T2.AdmFName2, T2.AdmLName2, T2.AdmFName3, T2.AdmLName3 FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1","SELECT s.School, s.AdmFName1, s.AdmLName1
FROM schools s
JOIN satscores t ON s.CDSCode = t.cds
WHERE t.NumTstTakr = (
    SELECT MAX(t2.NumTstTakr)
    FROM satscores t2
) AND t.NumGE1500 > 0
ORDER BY t.NumTstTakr DESC, t.NumGE1500 DESC
LIMIT 1;",0,qwen2_metadata
37,37,"SELECT T2.Street, T2.City, T2.Zip, T2.State FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY CAST(T1.NumGE1500 AS REAL) / T1.NumTstTakr ASC LIMIT 1","SELECT Street, City, Zip, State
FROM schools
JOIN frpm ON schools.CDSCode = frpm.CDSCode
WHERE frpm.`Percent (%) Eligible FRPM (K-12)` = (
    SELECT MIN(`Percent (%) Eligible FRPM (K-12)`)
    FROM frpm
)
ORDER BY frpm.`Percent (%) Eligible FRPM (K-12)` ASC
LIMIT 1;",0,qwen2_metadata
38,38,SELECT T2.Website FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T1.NumTstTakr BETWEEN 2000 AND 3000 AND T2.County = 'Los Angeles',"SELECT website
FROM schools
JOIN satscores ON schools.CDSCode = satscores.cds
WHERE County = 'Los Angeles County' AND NumTstTakr BETWEEN 2000 AND 3000;",0,qwen2_metadata
39,39,"SELECT AVG(T1.NumTstTakr) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE strftime('%Y', T2.OpenDate) = '1980' AND T2.County = 'Fresno'","SELECT AVG(NumTstTakr)
FROM satscores
INNER JOIN schools
ON satscores.cds = schools.CDSCode
WHERE schools.OpenDate BETWEEN '1980-01-01' AND '1980-12-31'
AND schools.County = 'Fresno';",1,qwen2_metadata
40,40,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.District = 'Fresno Unified' AND T1.AvgScrRead IS NOT NULL ORDER BY T1.AvgScrRead ASC LIMIT 1,"SELECT schools.Phone
FROM schools
JOIN frpm ON schools.CDSCode = frpm.CDSCode
WHERE schools.County = 'Fresno'
AND schools.District = 'Fresno Unified'
AND frpm.Academic_Year = '2022-2023'
ORDER BY frpm.AvgScrRead ASC
LIMIT 1;",0,qwen2_metadata
41,41,SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Virtual = 'F' ORDER BY T1.AvgScrRead DESC LIMIT 5,"SELECT `School Name`
FROM schools
JOIN frpm ON schools.CDSCode = frpm.CDSCode
JOIN satscores ON schools.CDSCode = satscores.cds
WHERE Virtual = 1 AND AvgScrRead IN (
    SELECT MAX(AvgScrRead) AS MaxScore
    FROM satscores
    WHERE Virtual = 1
    GROUP BY cds
    ORDER BY MaxScore DESC
    LIMIT 5
)
ORDER BY AvgScrRead DESC;",0,qwen2_metadata
42,42,SELECT T2.EdOpsName FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.AvgScrMath DESC LIMIT 1,"SELECT `School Name`, `School Type`, `Educational Option Type`
FROM schools
JOIN frpm ON schools.CDSCode = frpm.CDSCode
JOIN satscores ON schools.CDSCode = satscores.cds
WHERE satscores.AvgScrMath = (
    SELECT MAX(satscores.AvgScrMath)
    FROM satscores
)
GROUP BY `School Name`, `School Type`, `Educational Option Type`
ORDER BY satscores.AvgScrMath DESC;",0,qwen2_metadata
43,43,"SELECT T1.AvgScrMath, T2.County FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath IS NOT NULL ORDER BY T1.AvgScrMath + T1.AvgScrRead + T1.AvgScrWrite ASC LIMIT 1","SELECT County, AVG(AvgScrMath) as lowest_average_math_score
FROM satscores
JOIN schools ON satscores.cds = schools.CDSCode
JOIN frpm ON schools.CDSCode = frpm.CDSCode
WHERE schools.CDSCode = (
    SELECT schools.CDSCode
    FROM schools
    JOIN satscores ON schools.CDSCode = satscores.cds
    JOIN frpm ON schools.CDSCode = frpm.CDSCode
    GROUP BY schools.CDSCode
    ORDER BY AVG(satscores.AvgScrRead) + AVG(satscores.AvgScrMath) + AVG(satscores.AvgScrWrite) ASC
    LIMIT 1
)
GROUP BY schools.CDSCode
ORDER BY AVG(satscores.AvgScrMath) ASC
LIMIT 1;",0,qwen2_metadata
44,44,"SELECT T1.AvgScrWrite, T2.City FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1","SELECT City, AVG(AvgScrWrite)
FROM satscores
JOIN schools ON satscores.cds = schools.CDSCode
WHERE NumTstTakr = (SELECT MAX(NumTstTakr) FROM satscores)
AND AvgScrRead + AvgScrMath + AvgScrWrite >= 1500
GROUP BY City
ORDER BY AVG(AvgScrWrite) DESC
LIMIT 1;",0,qwen2_metadata
45,45,"SELECT T2.School, T1.AvgScrWrite FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.AdmFName1 = 'Ricci' AND T2.AdmLName1 = 'Ulrich'","SELECT schools.School, AVG(satscores.AvgScrWrite)
FROM schools
JOIN satscores ON schools.CDSCode = satscores.cds
WHERE satscores.rtype = 'S' AND schools.District = (SELECT District FROM schools WHERE AdmFName1 = 'Ricci' AND AdmLName1 = 'Ulrich')
GROUP BY schools.School;",0,qwen2_metadata
46,46,SELECT T2.School FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.DOC = 31 ORDER BY T1.`Enrollment (K-12)` DESC LIMIT 1,"SELECT State, COUNT(CDSCode) as EnrollmentCount
FROM schools
JOIN frpm ON schools.CDSCode = frpm.CDSCode
WHERE SchoolType = 'Special Education'
AND LowGrade = '1'
AND HighGrade = '12'
GROUP BY State
ORDER BY EnrollmentCount DESC
LIMIT 1;",0,qwen2_metadata
47,47,"SELECT CAST(COUNT(School) AS REAL) / 12 FROM schools WHERE DOC = 52 AND County = 'Alameda' AND strftime('%Y', OpenDate) = '1980'","SELECT AVG(MONTH(OpenDate)) as Monthly_Average
FROM schools
WHERE County = 'Alameda'
AND District = 'Elementary School District'
AND YEAR(OpenDate) = 1980
AND StatusType = 'Active';",0,qwen2_metadata
48,48,SELECT CAST(SUM(CASE WHEN DOC = 54 THEN 1 ELSE 0 END) AS REAL) / SUM(CASE WHEN DOC = 52 THEN 1 ELSE 0 END) FROM schools WHERE StatusType = 'Merged' AND County = 'Orange',"SELECT COUNT(*) as merged_unified_school_district_count,
       (SELECT COUNT(*) FROM schools WHERE DistrictType = 'Unified School District' AND County = 'Orange County') as unified_school_district_count,
       COUNT(*) as merged_elementary_school_district_count,
       (SELECT COUNT(*) FROM schools WHERE DistrictType = 'Elementary School District' AND County = 'Orange County') as elementary_school_district_count
FROM schools
WHERE DistrictType IN ('Merged Unified School District', 'Merged Elementary School District') AND County = 'Orange County';

SELECT merged_unified_school_district_count / unified_school_district_count as unified_ratio,
       merged_elementary_school_district_count / elementary_school_district_count as elementary_ratio;",0,qwen2_metadata
49,49,"SELECT DISTINCT County, School, ClosedDate FROM schools WHERE County = ( SELECT County FROM schools WHERE StatusType = 'Closed' GROUP BY County ORDER BY COUNT(School) DESC LIMIT 1 ) AND StatusType = 'Closed' AND school IS NOT NULL","SELECT County, School, ClosedDate
FROM schools
WHERE StatusType = 'Closed'
GROUP BY County, School, ClosedDate
ORDER BY COUNT(*) DESC
LIMIT 1;",0,qwen2_metadata
50,50,"SELECT T2.MailStreet, T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.AvgScrMath DESC LIMIT 5, 1","SELECT Street
FROM schools
JOIN (
    SELECT cds, AVG(AvgScrMath) AS avg_math_score
    FROM satscores
    GROUP BY cds
    ORDER BY avg_math_score DESC
    LIMIT 6
) AS top_6_schools
ON schools.CDSCode = top_6_schools.cds
WHERE schools.CDSCode = (
    SELECT cds
    FROM top_6_schools
    ORDER BY avg_math_score DESC
    LIMIT 1 OFFSET 5
);",0,qwen2_metadata
51,51,"SELECT T2.MailStreet, T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrRead IS NOT NULL ORDER BY T1.AvgScrRead ASC LIMIT 1","SELECT MailStreet, School
FROM schools
JOIN frpm ON schools.CDSCode = frpm.CDSCode
JOIN satscores ON schools.CDSCode = satscores.cds
WHERE AvgScrRead = (SELECT MIN(AvgScrRead) FROM frpm JOIN satscores ON frpm.CDSCode = satscores.cds)
GROUP BY MailStreet, School
LIMIT 1;",1,qwen2_metadata
52,52,SELECT COUNT(T1.cds) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.MailCity = 'Lakeport' AND (T1.AvgScrRead + T1.AvgScrMath + T1.AvgScrWrite) >= 1500,"SELECT COUNT(*)
FROM schools
JOIN satscores ON schools.CDSCode = satscores.cds
WHERE satscores.NumGE1500 > 0 AND schools.MailCity = 'Lakeport';",1,qwen2_metadata
53,53,SELECT T1.NumTstTakr FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.MailCity = 'Fresno',"SELECT COUNT(NumTstTakr)
FROM satscores
WHERE MailCity = 'Fresno';",0,qwen2_metadata
54,54,"SELECT School, MailZip FROM schools WHERE AdmFName1 = 'Avetik' AND AdmLName1 = 'Atoian'","SELECT schools.School, schools.MailZip
FROM schools
JOIN admins ON schools.CDSCode = admins.CDSCode
WHERE admins.AdmFName1 = 'Avetik' AND admins.AdmLName1 = 'Atoian';",0,qwen2_metadata
55,55,SELECT CAST(SUM(CASE WHEN County = 'Colusa' THEN 1 ELSE 0 END) AS REAL) / SUM(CASE WHEN County = 'Humboldt' THEN 1 ELSE 0 END) FROM schools WHERE MailState = 'CA',"SELECT COUNT(*) as count_colusa, COUNT(*) FILTER (WHERE MailState = 'CA' AND MailCounty = 'Colusa') as count_colusa_in_ca,
       COUNT(*) FILTER (WHERE MailState = 'CA' AND MailCounty = 'Humboldt') as count_humboldt_in_ca
FROM schools
WHERE MailState = 'CA';",0,qwen2_metadata
