,question_id,sql_gold_with,sql_pred_with,sql_pred_without,execution_accuracy_with,execution_accuracy_without,db_id,question,SQL
10,123,"SELECT T1.account_id, T2.A2, T2.A3 FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN loan AS T3 ON T1.account_id = T3.account_id WHERE T3.amount > 300000","SELECT loan.account_id, district.A2 AS district, district.A3 AS region
FROM loan
JOIN account ON loan.account_id = account.account_id
JOIN district ON account.district_id = district.district_id
WHERE loan.amount > 300000;","SELECT l.account_id, d.district_id, d.A3 AS region
FROM loan l
JOIN account a ON l.account_id = a.account_id
JOIN district d ON a.district_id = d.district_id
WHERE l.amount > 300000",1,0,financial,"Provide the account ID, district and region for loan amount greater than USD300,000.","SELECT T1.account_id, T2.A2, T2.A3 FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN loan AS T3 ON T1.account_id = T3.account_id WHERE T3.amount > 300000"
11,124,"SELECT T3.loan_id, T2.A2, T2.A11 FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN loan AS T3 ON T1.account_id = T3.account_id WHERE T3.duration = 60","SELECT loan.loan_id, district.A2 AS district_name, district.A11 AS average_salary
FROM loan
JOIN account ON loan.account_id = account.account_id
JOIN district ON account.district_id = district.district_id
WHERE loan.duration = 60;","SELECT l.loan_id, d.A2 AS district, d.A10 AS average_salary
FROM loan l
JOIN account a ON l.account_id = a.account_id
JOIN district d ON a.district_id = d.district_id
WHERE l.duration = 60",1,0,financial,"List the loan ID, district and average salary for loan with duration of 60 months.","SELECT T3.loan_id, T2.A2, T2.A11 FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN loan AS T3 ON T1.account_id = T3.account_id WHERE T3.duration = 60"
12,128,"SELECT T2.A2, COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.gender = 'F' GROUP BY T2.district_id, T2.A2 ORDER BY COUNT(T1.client_id) DESC LIMIT 10","SELECT d.A2 AS district_name, COUNT(*) AS female_account_holders
FROM client c
JOIN disp dp ON c.client_id = dp.client_id
JOIN account a ON dp.account_id = a.account_id
JOIN district d ON c.district_id = d.district_id
WHERE c.gender = 'F'
GROUP BY d.district_id, d.A2
ORDER BY female_account_holders DESC
LIMIT 10;","SELECT d.district_id, COUNT(c.client_id) AS female_client_count
FROM district d
JOIN client c ON d.district_id = c.district_id
JOIN disp di ON c.client_id = di.client_id
JOIN account a ON di.account_id = a.account_id
WHERE c.gender = 'F'
GROUP BY d.district_id
ORDER BY female_client_count DESC
LIMIT 10;",1,0,financial,"List the top ten districts, by descending order, from the highest to the lowest, the number of female account holders.","SELECT T2.A2, COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.gender = 'F' GROUP BY T2.district_id, T2.A2 ORDER BY COUNT(T1.client_id) DESC LIMIT 10"
13,134,SELECT COUNT(T2.account_id) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id GROUP BY T1.A16 ORDER BY T1.A16 DESC LIMIT 1,"SELECT COUNT(*)
FROM account
WHERE district_id = (
    SELECT district_id
    FROM district
    ORDER BY A16 DESC
    LIMIT 1
);","SELECT COUNT(a.account_id) 
FROM account a
JOIN district d ON a.district_id = d.district_id
WHERE d.A3 = (
    SELECT d2.A3 
    FROM district d2 
    WHERE d2.A4 = (
        SELECT d3.A4 
        FROM district d3 
        WHERE d3.A5 = '1996' 
        ORDER BY d3.A6 DESC 
        LIMIT 1)
)
AND a.date BETWEEN '1996-01-01' AND '1996-12-31';",1,0,financial,"In the branch where the largest number of crimes were committed in 1996, how many accounts were opened?",SELECT COUNT(T2.account_id) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id GROUP BY T1.A16 ORDER BY T1.A16 DESC LIMIT 1
14,140,SELECT COUNT(T1.account_id) FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T2.A2 = 'Pisek',"SELECT COUNT(*) 
FROM account 
JOIN district ON account.district_id = district.district_id 
WHERE district.A2 = 'Pisek';","SELECT COUNT(*) 
FROM account
JOIN district ON account.district_id = district.district_id
WHERE district.A3 = 'Pisek';",1,0,financial,"How many accounts are there in the district of ""Pisek""?",SELECT COUNT(T1.account_id) FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T2.A2 = 'Pisek'
15,152,"SELECT AVG(T1.A15) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id WHERE STRFTIME('%Y', T2.date) >= '1997' AND T1.A15 > 4000","SELECT AVG(d.A15) as average_crimes
FROM district d
JOIN account a ON d.district_id = a.district_id
WHERE d.A15 > 4000
AND a.date >= '1997-01-01';","SELECT AVG(d.A12) AS average_crimes
FROM district d
JOIN account a ON d.district_id = a.district_id
WHERE d.A12 > 4000
  AND EXTRACT(YEAR FROM a.date) >= 1997
  AND d.district_id IN (
    SELECT district_id
    FROM client
    WHERE district_id = d.district_id
  )
  AND EXTRACT(YEAR FROM a.date) = 1997;",1,0,financial,What is the average number of crimes committed in 1995 in regions where the number exceeds 4000 and the region has accounts that are opened starting from the year 1997?,"SELECT AVG(T1.A15) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id WHERE STRFTIME('%Y', T2.date) >= '1997' AND T1.A15 > 4000"
16,154,SELECT COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.gender = 'M' AND T2.A2 = 'Hl.m. Praha',"SELECT COUNT(*) 
FROM client 
JOIN district ON client.district_id = district.district_id 
WHERE client.gender = 'M' 
AND district.A2 = 'Hl.m. Praha';","SELECT COUNT(*)
FROM client
JOIN district ON client.district_id = district.district_id
WHERE client.gender = 'male' AND district.A2 = 'Hl.m. Praha'",1,0,financial,How many male clients in 'Hl.m. Praha' district?,SELECT COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.gender = 'M' AND T2.A2 = 'Hl.m. Praha'
17,157,SELECT T1.A15 FROM district AS T1 INNER JOIN `account` AS T2 ON T1.district_id = T2.district_id WHERE T2.account_id = 532,"SELECT d.A15
FROM account a
JOIN district d ON a.district_id = d.district_id
WHERE a.account_id = 532;","SELECT d.A11
FROM account a
JOIN district d ON a.district_id = d.district_id
WHERE a.account_id = 532 AND YEAR(a.date) = 1995",1,0,financial,What is the number of committed crimes in 1995 in the district of the account with the id 532?,SELECT T1.A15 FROM district AS T1 INNER JOIN `account` AS T2 ON T1.district_id = T2.district_id WHERE T2.account_id = 532
18,166,SELECT COUNT(T2.account_id) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id WHERE T1.A2 = 'Jesenik',"SELECT COUNT(*) 
FROM account 
JOIN district ON account.district_id = district.district_id 
WHERE district.A2 = 'Jesenik';","SELECT COUNT(*)
FROM account a
JOIN district d ON a.district_id = d.district_id
WHERE d.A3 = 'Jesenik';",1,0,financial,How many of the accounts are from Jesenik district?,SELECT COUNT(T2.account_id) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id WHERE T1.A2 = 'Jesenik'
19,177,"SELECT T3.balance, T1.gender FROM client AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id INNER JOIN trans AS T3 ON T2.account_id = T3.account_id WHERE T1.client_id = 4 AND T3.trans_id = 851","SELECT t.balance, c.gender 
FROM trans t
JOIN disp d ON t.account_id = d.account_id
JOIN client c ON d.client_id = c.client_id
WHERE t.trans_id = 851 AND c.client_id = 4;","SELECT c.gender, t.balance 
FROM client c
JOIN disp d ON c.client_id = d.client_id
JOIN trans t ON d.account_id = t.account_id
WHERE c.client_id = 4 AND t.trans_id = 851;",1,0,financial,"What is the sum that client number 4's account has following transaction 851? Who owns this account, a man or a woman?","SELECT T3.balance, T1.gender FROM client AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id INNER JOIN trans AS T3 ON T2.account_id = T3.account_id WHERE T1.client_id = 4 AND T3.trans_id = 851"
20,183,"SELECT COUNT(account_id) FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE STRFTIME('%Y', T1.date) > '1996' AND T2.A2 = 'Beroun'","SELECT COUNT(*)
FROM account a
JOIN district d ON a.district_id = d.district_id
WHERE d.A2 = 'Beroun' AND a.date > '1996-12-31';","SELECT COUNT(*)
FROM account a
JOIN district d ON a.district_id = d.district_id
WHERE d.A3 = 'Beroun' AND a.date > '1996-12-31'",1,0,financial,How many accounts in Beroun were opened after 1996?,"SELECT COUNT(account_id) FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE STRFTIME('%Y', T1.date) > '1996' AND T2.A2 = 'Beroun'"
21,188,"SELECT T1.account_id FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id WHERE T1.duration > 24 AND STRFTIME('%Y', T2.date) < '1997' ORDER BY T1.amount ASC LIMIT 1","SELECT l.account_id
FROM loan l
JOIN account a ON l.account_id = a.account_id
WHERE l.duration > 24 
AND a.date < '1997-01-01'
ORDER BY l.amount ASC
LIMIT 1;","SELECT account_id, MIN(amount) AS min_approved_amount
FROM loan
WHERE duration > 24
AND account_id IN (
    SELECT account_id
    FROM account
    WHERE date < '1997-01-01'
)
GROUP BY account_id
ORDER BY min_approved_amount
LIMIT 1;",1,0,financial,"Among the accounts who have loan validity more than 24 months, list out the accounts that have the lowest approved amount and have account opening date before 1997.","SELECT T1.account_id FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id WHERE T1.duration > 24 AND STRFTIME('%Y', T2.date) < '1997' ORDER BY T1.amount ASC LIMIT 1"
22,213,SELECT T1.bond_type FROM bond AS T1 INNER JOIN connected AS T2 ON T1.bond_id = T2.bond_id WHERE T2.atom_id = 'TR004_8' AND T2.atom_id2 = 'TR004_20' OR T2.atom_id2 = 'TR004_8' AND T2.atom_id = 'TR004_20',"SELECT bond_type
FROM connected
JOIN bond ON connected.bond_id = bond.bond_id
WHERE connected.atom_id = 'TR004_8' AND connected.atom_id2 = 'TR004_20' OR connected.atom_id = 'TR004_20' AND connected.atom_id2 = 'TR004_8';","SELECT bond.bond_type 
FROM connected 
JOIN bond ON connected.bond_id = bond.bond_id 
WHERE connected.atom_id = 'TR004_8' AND connected.atom_id2 = 'TR004_20'",1,0,toxicology,What type of bond is there between the atoms TR004_8 and TR004_20?,SELECT T1.bond_type FROM bond AS T1 INNER JOIN connected AS T2 ON T1.bond_id = T2.bond_id WHERE T2.atom_id = 'TR004_8' AND T2.atom_id2 = 'TR004_20' OR T2.atom_id2 = 'TR004_8' AND T2.atom_id = 'TR004_20'
23,214,SELECT DISTINCT T2.label FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.element != 'sn',"SELECT DISTINCT label
FROM molecule
WHERE label NOT IN (
    SELECT DISTINCT m.label
    FROM molecule m
    JOIN atom a ON m.molecule_id = a.molecule_id
    WHERE a.element = 'tin'
);","SELECT label 
FROM molecule 
WHERE molecule_id NOT IN (
    SELECT molecule_id 
    FROM atom 
    WHERE element = 'tin'
)",1,0,toxicology,What type of label is not on molecules with atoms with tin?,SELECT DISTINCT T2.label FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.element != 'sn'
24,264,"SELECT molecule_id, T.label FROM molecule AS T WHERE T.molecule_id IN ('TR000', 'TR001', 'TR002')","SELECT molecule_id, label FROM molecule WHERE molecule_id IN ('TR000', 'TR001', 'TR002');","SELECT label 
FROM molecule 
WHERE molecule_id IN ('TR000', 'TR001', 'TR002');",1,0,toxicology,"What are the labels for TR000, TR001 and TR002?","SELECT molecule_id, T.label FROM molecule AS T WHERE T.molecule_id IN ('TR000', 'TR001', 'TR002')"
25,268,SELECT T2.element FROM connected AS T1 INNER JOIN atom AS T2 ON T1.atom_id = T2.atom_id WHERE T1.bond_id = 'TR001_10_11',"SELECT element 
FROM atom 
WHERE atom_id IN (
    SELECT atom_id 
    FROM connected 
    WHERE bond_id = 'TR001_10_11'
);","SELECT a.element
FROM connected c
JOIN atom a ON c.atom_id = a.atom_id OR c.atom_id2 = a.atom_id
WHERE c.bond_id = 'TR001_10_11';",1,0,toxicology,What are the elements for bond id TR001_10_11?,SELECT T2.element FROM connected AS T1 INNER JOIN atom AS T2 ON T1.atom_id = T2.atom_id WHERE T1.bond_id = 'TR001_10_11'
26,289,SELECT T.label FROM molecule AS T WHERE T.molecule_id = 'TR151',SELECT label FROM molecule WHERE molecule_id = 'TR151';,"SELECT 
    CASE 
        WHEN molecule.label = 'carcinogenic' 
        THEN 'Yes' 
        ELSE 'No' 
    END AS is_carcinogenic
FROM molecule
WHERE molecule.molecule_id = 'TR151';",1,0,toxicology,Is molecule TR151 carcinogenic?,SELECT T.label FROM molecule AS T WHERE T.molecule_id = 'TR151'
27,299,SELECT T.label FROM molecule AS T WHERE T.molecule_id = 'TR124',SELECT label FROM molecule WHERE molecule_id = 'TR124';,SELECT label = 'carcinogenic' FROM molecule WHERE molecule_id = 'TR124';,1,0,toxicology,Is molecule TR124 carcinogenic?,SELECT T.label FROM molecule AS T WHERE T.molecule_id = 'TR124'
28,323,SELECT label FROM molecule AS T WHERE T.molecule_id = 'TR000',SELECT label FROM molecule WHERE molecule_id = 'TR000';,"SELECT CASE WHEN label = 'carcinogenic' THEN 'Yes' ELSE 'No' END AS carcinogenic_status
FROM molecule
WHERE molecule_id = 'TR000';",1,0,toxicology,Is molecule TR000 is carcinogenic or not?,SELECT label FROM molecule AS T WHERE T.molecule_id = 'TR000'
29,370,SELECT COUNT(T1.id) FROM cards AS T1 INNER JOIN foreign_data AS T2 ON T1.uuid = T2.uuid WHERE T1.borderColor = 'borderless' AND T2.language = 'Russian',"SELECT COUNT(*)
FROM cards
JOIN foreign_data ON cards.uuid = foreign_data.uuid
WHERE cards.borderColor = 'borderless' AND foreign_data.language = 'Russian';","SELECT COUNT(*)
FROM cards
JOIN foreign_data ON cards.uuid = foreign_data.uuid
WHERE cards.frameEffects = 'borderless' AND foreign_data.language = 'Russian'",1,0,card_games,How many borderless cards are illustrated in Russian?,SELECT COUNT(T1.id) FROM cards AS T1 INNER JOIN foreign_data AS T2 ON T1.uuid = T2.uuid WHERE T1.borderColor = 'borderless' AND T2.language = 'Russian'
30,374,SELECT COUNT(id) FROM cards WHERE availability = 'mtgo' AND borderColor = 'black',"SELECT COUNT(*)
FROM cards
WHERE borderColor = 'black' AND availability = 'mtgo' AND isOnlineOnly = 1;","SELECT COUNT(*)
FROM cards
WHERE borderColor = 'black' AND isOnlineOnly = 1 AND mtgoId IS NOT NULL AND (hasFoil = 0 AND hasNonFoil = 0)",1,0,card_games,How many black border cards are only available on mtgo?,SELECT COUNT(id) FROM cards WHERE availability = 'mtgo' AND borderColor = 'black'
31,377,SELECT COUNT(id) FROM cards WHERE originalType = 'Summon - Angel' AND subtypes != 'Angel',"SELECT COUNT(*)
FROM cards
WHERE originalType = 'Summon - Angel'
  AND (subtypes IS NULL OR subtypes != 'Angel');","SELECT COUNT(*)
FROM cards
WHERE originalType = 'Summon - Angel' AND (subtypes IS NULL OR subtypes NOT LIKE '%Angel%')",1,0,card_games,"How many cards with original type of ""Summon - Angel"" have subtype other than ""Angel""?",SELECT COUNT(id) FROM cards WHERE originalType = 'Summon - Angel' AND subtypes != 'Angel'
32,401,SELECT SUM(CASE WHEN hAND = '+3' THEN 1.0 ELSE 0 END) / COUNT(id) * 100 FROM cards WHERE frameEffects = 'legendary',"SELECT
    (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM cards WHERE frameEffects = 'legendary')) AS percentage
FROM
    cards
WHERE
    frameEffects = 'legendary'
    AND hand = '+3';","SELECT 
    (CAST(COUNT(*) AS FLOAT) / total.count) * 100 AS percentage
FROM 
    cards,
    (SELECT COUNT(*) AS count
     FROM cards 
     WHERE frameEffects LIKE '%legendary%') AS total
WHERE 
    frameEffects LIKE '%legendary%' AND
    hand = '+3';",1,0,card_games,"What percentage of legendary frame effect cards have a maximum starting maximun hand
size of +3?",SELECT SUM(CASE WHEN hAND = '+3' THEN 1.0 ELSE 0 END) / COUNT(id) * 100 FROM cards WHERE frameEffects = 'legendary'
33,451,SELECT SUM(CASE WHEN availability = 'paper' AND hAND LIKE '+%' AND hAND != '+0' THEN 1 ELSE 0 END) FROM cards,"SELECT COUNT(*) 
FROM cards 
WHERE availability LIKE '%paper%' AND hand LIKE '+%';","SELECT COUNT(*)
FROM cards
WHERE availability LIKE '%paper%' AND CAST(hand AS INTEGER) > 0;",1,0,card_games,How many cards available in paper have a positive starting maximum hand size?,SELECT SUM(CASE WHEN availability = 'paper' AND hAND LIKE '+%' AND hAND != '+0' THEN 1 ELSE 0 END) FROM cards
34,467,SELECT T1.baseSetSize FROM sets AS T1 INNER JOIN set_translations AS T2 ON T2.setCode = T1.code WHERE T2.translation = 'Hauptset Zehnte Edition',"SELECT s.baseSetSize
FROM sets s
JOIN set_translations st ON s.code = st.setCode
WHERE st.translation = ""Hauptset Zehnte Edition"";","SELECT COUNT(*) 
FROM cards 
WHERE setCode = (SELECT code FROM sets WHERE name = 'Hauptset Zehnte Edition')",1,0,card_games,"How many cards are there in the base set of ""Hauptset Zehnte Edition""?",SELECT T1.baseSetSize FROM sets AS T1 INNER JOIN set_translations AS T2 ON T2.setCode = T1.code WHERE T2.translation = 'Hauptset Zehnte Edition'
35,532,"SELECT DisplayName FROM users WHERE STRFTIME('%Y', CreationDate) = '2014'","SELECT DisplayName
FROM users
WHERE strftime('%Y', CreationDate) = '2014'","SELECT DisplayName 
FROM users 
WHERE YEAR(CreationDate) = 2014",1,0,codebase_community,Please list the display names of all the users whose accounts were created in the year 2014.,"SELECT DisplayName FROM users WHERE STRFTIME('%Y', CreationDate) = '2014'"
