database_name,table_name,original_column_name,column_description,data_format,Difficulty,Difficulty E/M/H/VH
financial,district,A4,The number of inhabitants in the district.,text,Domain-Dependent,Very Hard
financial,district,A5,This is the number of municipalities with fewer than 499 inhabitants in the district.,text,Domain-Dependent,Very Hard
financial,district,A6,This is the number of municipalities with inhabitants between 500 and 1999 in the district.,text,Domain-Dependent,Very Hard
financial,district,A7,This is the number of municipalities with 2000-9999 inhabitants in the district.,text,Domain-Dependent,Very Hard
financial,district,A8,This is the number of municipalities with more than 10,000 inhabitants in the district.,integer,Domain-Dependent,Very Hard
financial,district,A9,The number of cities in the district.,integer,Domain-Dependent,Very Hard
financial,district,A10,The ratio of urban inhabitants in the district.,real,Domain-Dependent,Very Hard
financial,district,A11,The average salary in the district.,integer,Domain-Dependent,Very Hard
financial,district,A12,The unemployment rate in the district in 1995.,real,Domain-Dependent,Very Hard
financial,district,A13,The unemployment rate in the district in 1996.,real,Domain-Dependent,Very Hard
financial,district,A14,The number of entrepreneurs per 1000 inhabitants in the district.,integer,Domain-Dependent,Very Hard
financial,district,A15,The number of committed crimes in the district in 1995.,integer,Domain-Dependent,Very Hard
financial,district,A16,The number of committed crimes in the district in 1996.,integer,Domain-Dependent,Very Hard
financial,trans,trans_id,Unique identifier for each transaction.,integer,Self-evident,Easy
financial,trans,account_id,The unique identifier for the account associated with the transaction.,integer,Self-evident,Easy
financial,trans,date,The date of the transaction.,date,Self-evident,Easy
financial,trans,type,The type of transaction.,text,Context-Aided,Medium
financial,trans,operation,The type of transaction operation.,text,Context-Aided,Medium
financial,trans,amount,The amount of money involved in the transaction.,integer,Self-evident,Easy
financial,trans,balance,The balance after the transaction.,integer,Self-evident,Easy
financial,trans,k_symbol,Characterization of the transaction.,text,Ambiguity-Prone,Hard
financial,trans,bank,The bank of the partner involved in the transaction.,text,Ambiguity-Prone,Hard
financial,trans,account,The account number of the partner involved in the transaction.,integer,Context-Aided,Medium
financial,account,account_id,This is the unique identifier for the account.,integer,Self-evident,Easy
financial,account,district_id,The identifier for the district where the account is located.,integer,Self-evident,Easy
financial,account,frequency,The frequency of transactions on the account.,text,Context-Aided,Medium
financial,account,date,The creation date of the account.,date,Ambiguity-Prone,Hard
financial,card,card_id,Unique identifier for each credit card.,integer,Self-evident,Easy
financial,card,disp_id,The identifier for the disposition associated with the card.,integer,Ambiguity-Prone,Hard
financial,card,type,The type of credit card issued.,text,Context-Aided,Medium
financial,card,issued,The date when the credit card was issued.,date,Context-Aided,Medium
financial,order,order_id,This is the unique identifier for each order.,integer,Self-evident,Easy
financial,order,account_id,The unique identifier for the account associated with the order.,integer,Self-evident,Easy
financial,order,bank_to,The bank of the recipient associated with the order.,text,Ambiguity-Prone,Hard
financial,order,account_to,The account number of the recipient associated with the order.,integer,Ambiguity-Prone,Hard
financial,order,amount,The amount of money in the order.,real,Self-evident,Easy
financial,order,k_symbol,Characterization of the payment for the order.,text,Context-Aided,Medium
financial,disp,disp_id,Unique identifier for each disposition record.,integer,Ambiguity-Prone,Hard
financial,disp,client_id,The unique identifier for the client associated with the disposition.,integer,Self-evident,Easy
financial,disp,account_id,The unique identifier for the account associated with the disposition.,integer,Self-evident,Easy
financial,disp,type,The type of disposition.,text,Context-Aided,Medium
formula_1,circuits,circuitId,Unique identification number for each circuit.,integer,Self-evident,Easy
formula_1,circuits,circuitRef,The unique reference name for the circuit.,text,Context-Aided,Medium
formula_1,circuits,name,The name of the circuit.,text,Self-evident,Easy
formula_1,circuits,location,The city or locality where the circuit is situated.,text,Context-Aided,Medium
formula_1,circuits,country,The country where the circuit is located.,text,Self-evident,Easy
formula_1,circuits,lat,Latitude of the circuit location.,real,Context-Aided,Medium
formula_1,circuits,lng,The longitude of the circuit's location.,real,Context-Aided,Medium
formula_1,circuits,alt,The altitude of the circuit location.,integer,Context-Aided,Medium
formula_1,circuits,url,The URL of the circuit's Wikipedia page.,text,Context-Aided,Medium
formula_1,status,statusId,The unique identification number for each status.,integer,Self-evident,Easy
formula_1,status,status,The status of the race or event.,text,Context-Aided,Medium
formula_1,drivers,driverId,The unique identification number assigned to each driver.,integer,Self-evident,Easy
formula_1,drivers,driverRef,The unique reference identifier for each driver.,text,Context-Aided,Medium
formula_1,drivers,number,The racing number assigned to the driver.,integer,Ambiguity-Prone,Hard
formula_1,drivers,code,Abbreviated code for drivers.,text,Context-Aided,Medium
formula_1,drivers,forename,The first name of the driver.,text,Self-evident,Easy
formula_1,drivers,surname,The surname of the driver.,text,Self-evident,Easy
formula_1,drivers,dob,The date of birth of the driver.,date,Self-evident,Easy
formula_1,drivers,nationality,The nationality of the driver.,text,Self-evident,Easy
formula_1,drivers,url,The URL of the driver's Wikipedia page.,text,Context-Aided,Medium
formula_1,driverStandings,driverStandingsId,The unique identification number for driver standing records.,integer,Self-evident,Easy
formula_1,driverStandings,raceId,Identifier for the race associated with the driver's standings.,integer,Self-evident,Easy
formula_1,driverStandings,driverId,Unique identifier for the driver.,integer,Self-evident,Easy
formula_1,driverStandings,points,The number of points a driver has accumulated in a race.,real,Self-evident,Easy
formula_1,driverStandings,position,The position of the driver in the race standings.,integer,Context-Aided,Medium
formula_1,driverStandings,positionText,The position of the driver as a text value.,text,Context-Aided,Medium
formula_1,driverStandings,wins,The number of wins achieved by the driver.,integer,Context-Aided,Medium
formula_1,races,raceId,The unique identification number for each race.,integer,Self-evident,Easy
formula_1,races,year,The year the race took place.,integer,Self-evident,Easy
formula_1,races,round,The round number of the race within the season.,integer,Ambiguity-Prone,Hard
formula_1,races,circuitId,The unique identifier for the circuit where the race took place.,integer,Self-evident,Easy
formula_1,races,name,The name of the race.,text,Self-evident,Easy
formula_1,races,date,The date of the race.,date,Self-evident,Easy
formula_1,races,time,The scheduled start time of the race.,text,Context-Aided,Medium
formula_1,races,url,The URL of the Wikipedia page for the race.,text,Context-Aided,Medium
formula_1,constructors,constructorId,This is the unique identifier for each constructor.,integer,Self-evident,Easy
formula_1,constructors,constructorRef,This is the unique reference name for each constructor.,text,Context-Aided,Medium
formula_1,constructors,name,The full name of the constructor.,text,Self-evident,Easy
formula_1,constructors,nationality,The nationality of the constructor.,text,Self-evident,Easy
formula_1,constructors,url,The URL of the constructor's official webpage.,text,Context-Aided,Medium
formula_1,constructorResults,constructorResultsId,Unique identifier for each constructor result.,integer,Self-evident,Easy
formula_1,constructorResults,raceId,The unique identifier for the race associated with the constructor's results.,integer,Context-Aided,Medium
formula_1,constructorResults,constructorId,The unique identifier for the constructor.,integer,Self-evident,Easy
formula_1,constructorResults,points,Points scored by the constructor in the race.,real,Self-evident,Easy
formula_1,constructorResults,status,The status of the constructor associated with the constructor result entry.,text,Ambiguity-Prone,Hard
formula_1,lapTimes,raceId,The identification number of the race during which the lap time was recorded.,integer,Self-evident,Easy
formula_1,lapTimes,driverId,The identification number of the driver who recorded the lap time.,integer,Self-evident,Easy
formula_1,lapTimes,lap,The lap number of which the lap time was recorded.,integer,Context-Aided,Medium
formula_1,lapTimes,position,The position of the driver at the end of the lap.,integer,Ambiguity-Prone,Hard
formula_1,lapTimes,time,The lap time recorded for each lap.,text,Self-evident,Easy
formula_1,lapTimes,milliseconds,The time in milliseconds for a lap.,integer,Context-Aided,Medium
formula_1,qualifying,qualifyId,The unique identifier for each qualifying session entry.,integer,Self-evident,Easy
formula_1,qualifying,raceId,The ID for the race associated with the qualifying session entry.,integer,Self-evident,Easy
formula_1,qualifying,driverId,The ID of the driver associated with the qualifying session entry.,integer,Self-evident,Easy
formula_1,qualifying,constructorId,The ID of the constructor associated with the driver in the qualifying session entry.,integer,Self-evident,Easy
formula_1,qualifying,number,The driver's car number in the qualifying session entry.,integer,Ambiguity-Prone,Hard
formula_1,qualifying,position,The position of the driver in the qualifying session.,integer,Context-Aided,Medium
formula_1,qualifying,q1,The time recorded for the driver in the first qualifying session period Q1.,text,Context-Aided,Medium
formula_1,qualifying,q2,The time recorded for the driver in the second qualifying session period Q2.,text,Context-Aided,Medium
formula_1,qualifying,q3,The time recorded for the driver in the third qualifying session period Q3.,text,Context-Aided,Medium
formula_1,pitStops,raceId,The identification number for the race where the pit stop occured.,integer,Self-evident,Easy
formula_1,pitStops,driverId,The identification number for the driver that made the pit stop.,integer,Self-evident,Easy
formula_1,pitStops,stop,The i:th pit stop number the pit stop corresponds to for the specified driver and race.,integer,Context-Aided,Medium
formula_1,pitStops,lap,The lap number during which the pit stop occurred.,integer,Self-evident,Easy
formula_1,pitStops,time,The timestamp of when the pit stop occurred.,text,Context-Aided,Medium
formula_1,pitStops,duration,The duration of the pit stop in text format.,text,Self-evident,Easy
formula_1,pitStops,milliseconds,The duration of the pit stop in milliseconds.,integer,Self-evident,Easy
formula_1,seasons,year,The year the Formula One season took place.,integer,Self-evident,Easy
formula_1,seasons,url,The URL linking to the Wikipedia page for the specific Formula One season.,text,Context-Aided,Medium
formula_1,constructorStandings,constructorStandingsId,Unique identifier for each constructor standing record.,integer,Self-evident,Easy
formula_1,constructorStandings,raceId,Identifier for the race associated with the constructor's standings.,integer,Self-evident,Easy
formula_1,constructorStandings,constructorId,Identifier for the constructor associated with the standings.,integer,Self-evident,Easy
formula_1,constructorStandings,points,The number of points acquired by a constructor in each race.,,Self-evident,Easy
formula_1,constructorStandings,position,The overall position of the constructor after the specified race.,integer,Self-evident,Easy
formula_1,constructorStandings,positionText,The overall position of the constructor after the specified race in text format.,text,Context-Aided,Medium
formula_1,constructorStandings,wins,The number of wins achieved by the constructor.,integer,Self-evident,Easy
formula_1,results,resultId,This is the unique identifier for each race result.,integer,Self-evident,Easy
formula_1,results,raceId,The unique identifier for each race.,integer,Self-evident,Easy
formula_1,results,driverId,The identification number of the driver.,integer,Self-evident,Easy
formula_1,results,constructorId,The identification number of the constructor associated with the result.,integer,Self-evident,Easy
formula_1,results,number,The racing number assigned to the driver.,integer,Ambiguity-Prone,Hard
formula_1,results,grid,The starting position of the driver on the grid.,integer,Ambiguity-Prone,Hard
formula_1,results,position,The finishing position of the driver in the race.,integer,Ambiguity-Prone,Hard
formula_1,results,positionText,The finishing position of the driver in the race as a text value.,text,Context-Aided,Medium
formula_1,results,positionOrder,The order in which drivers finished the race.,integer,Context-Aided,Medium
formula_1,results,points,The points scored by the driver in the race.,real,Self-evident,Easy
formula_1,results,laps,The number of laps completed by the driver in the race.,integer,Context-Aided,Medium
formula_1,results,time,The finish time of the driver in the race.,text,Ambiguity-Prone,Hard
formula_1,results,milliseconds,The finishing time of the driver in the race in milliseconds.,integer,Context-Aided,Medium
formula_1,results,fastestLap,The number of the fastest lap in the race for the driver.,integer,Context-Aided,Medium
formula_1,results,rank,The overall rank of the driver's fastest lap time in the race.,integer,Ambiguity-Prone,Hard
formula_1,results,fastestLapTime,The fastest lap time recorded by the driver during the race.,text,Self-evident,Easy
formula_1,results,fastestLapSpeed,The speed of the fastest lap achieved by the driver during the race.,text,Context-Aided,Medium
formula_1,results,statusId,The status ID associated with the result.,integer,Context-Aided,Medium
california_schools,schools,CDSCode,A unique identifier for each school.,text,Context-Aided,Medium
california_schools,schools,NCESDist,This field represents the 7-digit National Center for Educational Statistics (NCES) school district identification number.,text,Ambiguity-Prone,Hard
california_schools,schools,NCESSchool,This field represents the 5-digit NCES school identification number. The NCESSchool combined with the NCESDist form a unique 12-digit ID for each school.,text,Ambiguity-Prone,Hard
california_schools,schools,StatusType,This field identifies the operational status of the school.,text,Context-Aided,Medium
california_schools,schools,County,The name of the county where the school is located.,text,Self-evident,Easy
california_schools,schools,District,The name of the school district.,text,Self-evident,Easy
california_schools,schools,School,The name of the school.,text,Context-Aided,Medium
california_schools,schools,Street,The street address of the school.,text,Self-evident,Easy
california_schools,schools,StreetAbr,The abbreviated street address of the school, district, or administrative authority’s physical location.,text,Self-evident,Easy
california_schools,schools,City,The city where the school is located.,text,Self-evident,Easy
california_schools,schools,Zip,The ZIP code of the school's location.,text,Self-evident,Easy
california_schools,schools,State,The state where the school is located.,text,Self-evident,Easy
california_schools,schools,MailStreet,The mailing address of the school.,text,Self-evident,Easy
california_schools,schools,MailStrAbr,Abbreviated mailing street address of the school.,text,Self-evident,Easy
california_schools,schools,MailCity,The mailing city for the school's mailing address.,text,Self-evident,Easy
california_schools,schools,MailZip,The school's mailing zip code.,text,Self-evident,Easy
california_schools,schools,MailState,The state of the school's mailing address.,text,Self-evident,Easy
california_schools,schools,Phone,The contact phone number for the school.,text,Self-evident,Easy
california_schools,schools,Ext,The phone number extension of the school, district, or administrative authority.,text,Domain-Dependent,Very Hard
california_schools,schools,Website,The website address of the school, district, or administrative authority.,text,Self-evident,Easy
california_schools,schools,OpenDate,The date the school officially opened.,date,Context-Aided,Medium
california_schools,schools,ClosedDate,The date the school closed.,date,Context-Aided,Medium
california_schools,schools,Charter,This field indicates whether the school is a charter school, with 1 for yes and 0 for no.,integer,Context-Aided,Medium
california_schools,schools,CharterNum,The charter school number of the school.,text,Context-Aided,Medium
california_schools,schools,FundingType,Indicates the type of funding for the charter school.,text,Self-evident,Easy
california_schools,schools,DOC,The code representing the district's ownership or administrative control of the school.,text,Ambiguity-Prone,Hard
california_schools,schools,DOCType,The District Ownership Code Type is the text description of the District Ownership Code (DOC) category of the school.,text,Ambiguity-Prone,Hard
california_schools,schools,SOC,The School Ownership Code is a numeric code used to identify the type of school ownership.,text,Ambiguity-Prone,Hard
california_schools,schools,SOCType,The School Ownership Code Type is the text description of the type of school ownership.,text,Ambiguity-Prone,Hard
california_schools,schools,EdOpsCode,The Education Option Code is a code representing the type of educational option offered by the school.,text,Ambiguity-Prone,Hard
california_schools,schools,EdOpsName,The name of the educational option offered by the school.,text,Ambiguity-Prone,Hard
california_schools,schools,EILCode,The Educational Instruction Level Code is a short text description of the institution's type relative to the grade range served by the school.,text,Ambiguity-Prone,Hard
california_schools,schools,EILName,The Educational Instruction Level Name is the detailed description of the institution’s type relative to the grade range served by the school.,text,Ambiguity-Prone,Hard
california_schools,schools,GSoffered,The grade span offered is the range of grades (from the lowest to the highest) that the school supports or offers.,text,Ambiguity-Prone,Hard
california_schools,schools,GSserved,The grade span served by the school, indicating the range of grades in which students are enrolled.,text,Ambiguity-Prone,Hard
california_schools,schools,Virtual,This field identifies the type of virtual instruction offered by the school.,text,Ambiguity-Prone,Hard
california_schools,schools,Magnet,This field identifies whether a school is a magnet school and/or provides a magnet program.,text,Ambiguity-Prone,Hard
california_schools,schools,Latitude,The latitude coordinate of the school.,real,Self-evident,Easy
california_schools,schools,Longitude,The longitude coordinate of the school.,real,Self-evident,Easy
california_schools,schools,AdmFName1,The first name of the primary administrator at the school.,text,Ambiguity-Prone,Hard
california_schools,schools,AdmLName1,The last name of the first administrator at the school.,text,Ambiguity-Prone,Hard
california_schools,schools,AdmEmail1,The primary email address of the first administrator at the school.,text,Ambiguity-Prone,Hard
california_schools,schools,AdmFName2,The first name of the second administrator at the school.,text,Ambiguity-Prone,Hard
california_schools,schools,AdmLName2,The last name of the second administrator at the school.,text,Ambiguity-Prone,Hard
california_schools,schools,AdmEmail2,The primary email address of the second administrator at the school.,text,Ambiguity-Prone,Hard
california_schools,schools,AdmFName3,The first name of the third administrator at the school.,text,Ambiguity-Prone,Hard
california_schools,schools,AdmLName3,The last name of the third administrator at the school.,text,Ambiguity-Prone,Hard
california_schools,schools,AdmEmail3,The primary email address of the third administrator at the school.,text,Ambiguity-Prone,Hard
california_schools,schools,LastUpdate,The date when the record associated with the school was last updated.,date,Ambiguity-Prone,Hard
california_schools,satscores,cds,The unique identifier for the school or district associated with the SAT score entry.,text,Domain-Dependent,Very Hard
california_schools,satscores,rtype,The type of the reporting entity (e.g., district or school) associated with the SAT score entry.,text,Ambiguity-Prone,Hard
california_schools,satscores,sname,The name of the school associated with the SAT score entry.,text,Context-Aided,Medium
california_schools,satscores,dname,The name of the district associated with the SAT score entry.,text,Context-Aided,Medium
california_schools,satscores,cname,The name of the county associated with the SAT score entry.,text,Context-Aided,Medium
california_schools,satscores,enroll12,The number of students enrolled at the school in grades 1 through 12 for the given SAT score entry.,integer,Domain-Dependent,Very Hard
california_schools,satscores,NumTstTakr,The number of students who took the SAT test in the specified school.,integer,Ambiguity-Prone,Hard
california_schools,satscores,AvgScrRead,Average scores in Reading for the SAT test in the specified school.,integer,Context-Aided,Medium
california_schools,satscores,AvgScrMath,The average scores in Math for the SAT test in the specified school.,integer,Context-Aided,Medium
california_schools,satscores,AvgScrWrite,The average scores in writing for the SAT test in the specified school.,integer,Context-Aided,Medium
california_schools,satscores,NumGE1500,The number of test takers whose total SAT scores are greater than or equal to 1500 for the specified school.,integer,Ambiguity-Prone,Hard
california_schools,frpm,CDSCode,The County-District-School (CDS) code for the school in California associated with the Free or Reduced-Price Meal entry.,integer,Ambiguity-Prone,Hard
california_schools,frpm,Academic Year,The academic year for which the Free or Reduced-Price Meal data is reported.,integer,Context-Aided,Medium
california_schools,frpm,County Code,The county for the school in California associated with the Free or Reduced-Price Meal entry.,integer,Context-Aided,Medium
california_schools,frpm,District Code,The code of the district for the school in California associated with the Free or Reduced-Price Meal entry.,integer,Context-Aided,Medium
california_schools,frpm,School Code,The school code for the school associated with the Free or Reduced-Price Meal entry.,integer,Self-evident,Easy
california_schools,frpm,County Name,The name of the county where the school associated with the Free or Reduced-Price Meal entry is located.,text,Self-evident,Easy
california_schools,frpm,District Name,The name of the school district of the school associated with the Free or Reduced-Price Meal entry.,text,Self-evident,Easy
california_schools,frpm,School Name,The name of the school associated with the Free or Reduced-Price Meal entry.,text,Self-evident,Easy
california_schools,frpm,District Type,The type of district the school associated with the Free or Reduced-Price Meal entry belongs to.,text,Self-evident,Easy
california_schools,frpm,School Type,The type of school, such as elementary, middle, or high school, the school associated with the Free or Reduced-Price Meal entry belongs to.,text,Context-Aided,Medium
california_schools,frpm,Educational Option Type,The type of educational option provided by the school associated with the Free or Reduced-Price Meal entry.,text,Context-Aided,Medium
california_schools,frpm,NSLP Provision Status,The status of the school's participation in the National School Lunch Program (NSLP) provision options.,text,Ambiguity-Prone,Hard
california_schools,frpm,Charter School (Y/N),Indicates whether the school associated with the Free or Reduced-Price Meal entry is a charter school (1 for Yes, 0 for No).,integer,Self-evident,Easy
california_schools,frpm,Charter School Number,The unique identifier assigned to a charter school, for the school associated with the Free or Reduced-Price Meal entry.,text,Self-evident,Easy
california_schools,frpm,Charter Funding Type,The type of funding for the charter school associated with the Free or Reduced-Price Meal entry.,text,Context-Aided,Medium
california_schools,frpm,IRC,The IRC of the school associated with the Free or Reduced-Price Meal entry.,integer,Context-Aided,Medium
california_schools,frpm,Low Grade,The lowest grade level offered at the school associated with the Free or Reduced-Price Meal entry.,text,Context-Aided,Medium
california_schools,frpm,High Grade,The highest grade level offered at the school associated with the Free or Reduced-Price Meal entry.,text,Context-Aided,Medium
california_schools,frpm,Enrollment (K-12),The total number of students at the school associated with the Free or Reduced-Price Meal entry enrolled in grades K-12.,real,Context-Aided,Medium
california_schools,frpm,Free Meal Count (K-12),The number of students at the school associated with the Free or Reduced-Price Meal entry in grades K-12 who receive free meals.,real,Context-Aided,Medium
california_schools,frpm,Percent (%) Eligible Free (K-12),The percentage of K-12 students at the school eligible for free meals.,real,Context-Aided,Medium
california_schools,frpm,FRPM Count (K-12),The count of students at the school eligible for Free or Reduced Price Meals (K-12).,real,Context-Aided,Medium
california_schools,frpm,Percent (%) Eligible FRPM (K-12),The percentage of students at the school eligible for free or reduced-price meals (K-12).,real,Context-Aided,Medium
california_schools,frpm,Enrollment (Ages 5-17),The number of students enrolled at the school associated with the Free or Reduced-Price Meal entry aged 5 to 17.,real,Context-Aided,Medium
california_schools,frpm,Free Meal Count (Ages 5-17),The number of students at the school associated with the Free or Reduced-Price Meal entry aged 5-17 who receive free meals.,real,Context-Aided,Medium
california_schools,frpm,Percent (%) Eligible Free (Ages 5-17),The percentage of students at the school aged 5-17 eligible for free meals.,real,Context-Aided,Medium
california_schools,frpm,FRPM Count (Ages 5-17),The count of students at the school aged 5-17 eligible for Free or Reduced-Price Meals (FRPM).,real,Context-Aided,Medium
california_schools,frpm,Percent (%) Eligible FRPM (Ages 5-17),The percentage of students at the school aged 5-17 eligible for free or reduced-price meals (FRPM).,real,Context-Aided,Medium
california_schools,frpm,2013-14 CALPADS Fall 1 Certification Status,The certification status of the school associated with the Free or Reduced-Price Meal entry for the 2013-14 CALPADS Fall 1 data submission.,integer,Ambiguity-Prone,Hard
card_games,legalities,id,Unique identifier for each legality record.,integer,Self-evident,Easy
card_games,legalities,format,The format of play of the legality associated with the card.,text,Ambiguity-Prone,Hard
card_games,legalities,status,The status of the card's legality in a specific format.,text,Ambiguity-Prone,Hard
card_games,legalities,uuid,A unique identifier for the card.,text,Ambiguity-Prone,Hard
card_games,cards,id,Unique identifier for each card.,integer,Self-evident,Easy
card_games,cards,artist,The name of the artist that illustrated the card art.,text,Context-Aided,Medium
card_games,cards,asciiName,The ASCII code formatted card name with no special unicode characters.,text,Self-evident,Easy
card_games,cards,availability,A list of the card's available formats (e.g., mtgo, paper).,text,Context-Aided,Medium
card_games,cards,borderColor,The color of the card border.,text,Self-evident,Easy
card_games,cards,cardKingdomFoilId,The unique identifier for the card on Card Kingdom's foil product listing.,text,Self-evident,Easy
card_games,cards,cardKingdomId,The unique identifier for the card on Card Kingdom.,text,Self-evident,Easy
card_games,cards,colorIdentity,A list of all the colors found in manaCost, colorIndicator, and text.,text,Ambiguity-Prone,Hard
card_games,cards,colorIndicator,A list of all the colors in the color indicator (the symbol prefixed to a card's types).,text,Ambiguity-Prone,Hard
card_games,cards,colors,A list of all the colors in manaCost and colorIndicator.,text,Ambiguity-Prone,Hard
card_games,cards,convertedManaCost,The converted mana cost of the card.,real,Context-Aided,Medium
card_games,cards,duelDeck,The indicator for which duel deck the card is in.,text,Ambiguity-Prone,Hard
card_games,cards,edhrecRank,The card's rank on EDHRec.,integer,Ambiguity-Prone,Hard
card_games,cards,faceConvertedManaCost,The converted mana cost or mana value for the face for either half or part of the card.,real,Ambiguity-Prone,Hard
card_games,cards,faceName,The name on the face of the card.,text,Ambiguity-Prone,Hard
card_games,cards,flavorName,The promotional card name printed above the true card name on special cards that has no game function.,text,Ambiguity-Prone,Hard
card_games,cards,flavorText,The italicized text found below the rules text that has no game function.,text,Ambiguity-Prone,Hard
card_games,cards,frameEffects,The visual frame effects applied to the card.,text,Ambiguity-Prone,Hard
card_games,cards,frameVersion,The version of the card frame style.,text,Ambiguity-Prone,Hard
card_games,cards,hand,The starting maximum hand size total modifier of the card.,text,Ambiguity-Prone,Hard
card_games,cards,hasAlternativeDeckLimit,Indicates if the card allows a value other than 4 copies in a deck.,integer,Ambiguity-Prone,Hard
card_games,cards,hasContentWarning,Indicates if the card has been marked for having sensitive content.,integer,Self-evident,Easy
card_games,cards,hasFoil,Indicates if the card is available in foil.,integer,Ambiguity-Prone,Hard
card_games,cards,hasNonFoil,Indicates whether the card is available in non-foil.,integer,Ambiguity-Prone,Hard
card_games,cards,isAlternative,Indicates if the card is an alternate variation to an original printing.,integer,Ambiguity-Prone,Hard
card_games,cards,isFullArt,Indicates whether the card features full artwork.,integer,Ambiguity-Prone,Hard
card_games,cards,isOnlineOnly,Indicates if the card is exclusively available in online game variations.,integer,Self-evident,Easy
card_games,cards,isOversized,Indicates whether the card is oversized.,integer,Self-evident,Easy
card_games,cards,isPromo,Indicates if the card is a promotional printing.,integer,Self-evident,Easy
card_games,cards,isReprint,Indicates whether the card has been reprinted.,integer,Self-evident,Easy
card_games,cards,isReserved,Indicates if the card is on the Magic: The Gathering Reserved List.,integer,Ambiguity-Prone,Hard
card_games,cards,isStarter,Indicates if the card is included in a starter deck such as Planeswalker or Brawl decks.,integer,Ambiguity-Prone,Hard
card_games,cards,isStorySpotlight,Indicates whether the card is a Story Spotlight card.,integer,Self-evident,Easy
card_games,cards,isTextless,Indicates whether the card lacks a text box.,integer,Self-evident,Easy
card_games,cards,isTimeshifted,Indicates whether the card is time-shifted.,integer,Self-evident,Easy
card_games,cards,keywords,A list of keywords associated with the card.,text,Context-Aided,Medium
card_games,cards,layout,"The type of card layout. For a token card, this will be ""token"".",text,Context-Aided,Medium
card_games,cards,leadershipSkills,A list of formats the card is legal to be a commander in.,text,Context-Aided,Medium
card_games,cards,life,The starting life total modifier. A plus or minus character precedes an integer.,text,Ambiguity-Prone,Hard
card_games,cards,loyalty,The starting loyalty value of the card.,text,Ambiguity-Prone,Hard
card_games,cards,manaCost,The mana cost of the card, represented in a specific format using curly braces for each value.,text,Context-Aided,Medium
card_games,cards,mcmId,The ID for the card on the Magic Card Market (MCM).,text,Ambiguity-Prone,Hard
card_games,cards,mcmMetaId,The meta ID for the card on the Magic Card Market (MCM).,text,Ambiguity-Prone,Hard
card_games,cards,mtgArenaId,The unique identifier for the card in the Magic: The Gathering Arena database.,text,Ambiguity-Prone,Hard
