,database_name,table_name,original_column_name,column_name,column_description,data_format,value_description
102,formula_1,driverStandings.csv,wins ,,wins ,integer,
103,formula_1,races.csv,raceId ,race ID ,the unique identification number identifying the race ,integer ,
104,formula_1,races.csv,year ,,year ,integer ,
105,formula_1,races.csv,round ,,round ,integer ,
106,formula_1,races.csv,circuitId ,Circuit Id ,circuit Id ,integer ,
107,formula_1,races.csv,name ,,name of the race ,text,
108,formula_1,races.csv,date ,,duration time ,date,
109,formula_1,races.csv,time ,,time of the location ,text,
110,formula_1,races.csv,url ,,introduction of races ,text,
111,formula_1,constructors.csv,constructorId ,constructor Id ,the unique identification number identifying constructors ,integer ,
112,formula_1,constructors.csv,constructorRef ,Constructor Reference name ,Constructor Reference name ,text,
113,formula_1,constructors.csv,name ,,full name of the constructor ,text,
114,formula_1,constructors.csv,nationality ,,nationality of the constructor ,text,
115,formula_1,constructors.csv,url ,,the introduction website of the constructor ,text,"commonsense evidence: 
How to find out the detailed introduction of the constructor: through its url"
116,formula_1,constructors.csv,wins ,,wins ,integer ,
117,formula_1,constructorResults.csv,constructorResultsId,constructor Results Id,constructor Results Id,integer,
118,formula_1,constructorResults.csv,raceId,race Id,race id,integer,
119,formula_1,constructorResults.csv,constructorId,constructor Id,constructor id,integer,
120,formula_1,constructorResults.csv,points,,points,real,
121,formula_1,constructorResults.csv,status,,status,text,
122,formula_1,lapTimes.csv,raceId ,race ID ,the identification number identifying race,integer ,
123,formula_1,lapTimes.csv,driverId ,driver ID ,the identification number identifying each driver ,integer ,
124,formula_1,lapTimes.csv,lap ,,lap number ,integer ,
125,formula_1,lapTimes.csv,position ,,position or track of circuits  ,integer ,
126,formula_1,lapTimes.csv,time ,,lap time  ,text,in minutes / seconds / ... 
127,formula_1,lapTimes.csv,milliseconds ,,milliseconds ,integer ,
128,formula_1,qualifying.csv,qualifyId ,qualify Id ,the unique identification number identifying qualifying ,integer ,"How does F1 Sprint qualifying work? Sprint qualifying is essentially a short-form Grand Prix � a race that is one-third the number of laps of the main event on Sunday. However, the drivers are battling for positions on the grid for the start of Sunday's race. "
129,formula_1,qualifying.csv,raceId ,race Id ,the identification number identifying each race ,integer ,
130,formula_1,qualifying.csv,driverId ,driver Id,the identification number identifying each driver ,integer ,
131,formula_1,qualifying.csv,constructorId ,constructor id ,constructor Id ,integer ,
132,formula_1,qualifying.csv,number ,,number ,integer ,
133,formula_1,qualifying.csv,position ,,position or track of circuit ,integer ,
134,formula_1,qualifying.csv,q1 ,qualifying 1 ,time in qualifying 1 ,text,"in minutes / seconds / ... 
commonsense evidence: 
Q1 lap times determine pole position and the order of the front 10 positions on the grid. The slowest driver in Q1 starts 10th, the next starts ninth and so on. 
All 20 F1 drivers participate in the first period, called Q1, with each trying to set the fastest time possible. Those in the top 15 move on to the next period of qualifying, called Q2. The five slowest drivers are eliminated and will start the race in the last five positions on the grid. "
135,formula_1,qualifying.csv,q2 ,qualifying 2 ,time in qualifying 2 ,text,"in minutes / seconds / ... 
commonsense evidence: 
only top 15 in the q1 has the record of q2 
Q2 is slightly shorter but follows the same format. Drivers try to put down their best times to move on to Q1 as one of the 10 fastest cars. The five outside of the top 10 are eliminated and start the race from 11th to 15th based on their best lap time. "
136,formula_1,qualifying.csv,q3 ,qualifying 3 ,time in qualifying 3 ,text,"in minutes / seconds / ... 
commonsense evidence: 
only top 10 in the q2 has the record of q3 "
137,formula_1,pitStops.csv,raceId ,race ID ,the identification number identifying race ,integer ,
138,formula_1,pitStops.csv,driverId ,driver ID ,the identification number identifying each driver ,integer ,
139,formula_1,pitStops.csv,stop ,,stop number ,integer ,
140,formula_1,pitStops.csv,lap ,,lap number ,integer ,
141,formula_1,pitStops.csv,time ,,time ,text,exact time  
142,formula_1,pitStops.csv,duration ,,duration time ,text,seconds/ 
143,formula_1,pitStops.csv,milliseconds ,,milliseconds ,integer ,
144,formula_1,seasons.csv,year ,race ID ,the unique identification number identifying the race,integer,
145,formula_1,seasons.csv,url ,,website link of season race introduction ,text,
146,formula_1,constructorStandings.csv,constructorStandingsId ,constructor Standings Id ,unique identification of the constructor standing records ,integer ,
147,formula_1,constructorStandings.csv,raceId ,race id ,id number identifying which races ,integer ,
148,formula_1,constructorStandings.csv,constructorId ,constructor id ,id number identifying which id ,integer ,
149,formula_1,constructorStandings.csv,points,,how many points acquired in each race ,,
150,formula_1,constructorStandings.csv,position ,,position or track of circuits ,integer ,
151,formula_1,constructorStandings.csv,positionText ,position text ,,text,"same with position, not quite useful "
152,formula_1,constructorStandings.csv,wins ,,wins ,integer ,
153,formula_1,results.csv,resultId,Result ID ,the unique identification number identifying race result ,integer,
154,formula_1,results.csv,raceId,race ID ,the identification number identifying the race ,integer ,
155,formula_1,results.csv,driverId ,driver ID,the identification number identifying the driver ,integer ,
156,formula_1,results.csv,constructorId ,constructor Id ,the identification number identifying which constructors ,integer ,
157,formula_1,results.csv,number ,,number  ,integer ,
158,formula_1,results.csv,grid ,,the number identifying the area where cars are set into a grid formation in order to start the race. ,integer ,
159,formula_1,results.csv,position ,,The finishing position or track of circuits ,integer ,
160,formula_1,results.csv,positionText ,position text ,,text,not quite useful 
161,formula_1,results.csv,positionOrder ,position order ,the finishing order of positions ,integer ,
162,formula_1,results.csv,points ,,points ,real,
163,formula_1,results.csv,laps ,,lap number ,integer ,
164,formula_1,results.csv,time  ,,finish time ,text,"commonsense evidence: 
1. if the value exists, it means the driver finished the race. 
2. Only the time of the champion shows in the format of ""minutes: seconds.millionsecond"", the time of the other drivers shows as ""seconds.millionsecond"" , which means their actual time is the time of the champion adding the value in this cell."
165,formula_1,results.csv,milliseconds ,,the actual finishing time of drivers in milliseconds  ,integer ,the actual finishing time of drivers  
166,formula_1,results.csv,fastestLap ,fastest lap ,fastest lap number ,integer ,
167,formula_1,results.csv,rank ,,starting rank positioned by fastest lap speed,integer ,
168,formula_1,results.csv,fastestLapTime ,fastest Lap Time,fastest Lap Time,text,"faster (smaller in the value) ""fastestLapTime"" leads to higher rank (smaller is higher rank) "
169,formula_1,results.csv,fastestLapSpeed ,fastest Lap Speed ,fastest Lap Speed ,text, (km / h) 
170,formula_1,results.csv,statusId ,status Id ,status ID ,integer,its category description appear in the table status 
171,california_schools,schools.csv,CDSCode,CDSCode,CDSCode,text,
172,california_schools,schools.csv,NCESDist,National Center for Educational Statistics school district identification number,"This field represents the 7-digit National Center for Educational Statistics (NCES) school district identification number. The first 2 digits identify the state and the last 5 digits identify the school district. Combined, they make a unique 7-digit ID for each school district.",text,
173,california_schools,schools.csv,NCESSchool,National Center for Educational Statistics school identification number,This field represents the 5-digit NCES school identification number. The NCESSchool combined with the NCESDist form a unique 12-digit ID for each school.,text,
174,california_schools,schools.csv,StatusType,,This field identifies the status of the district. ,text,"Definitions of the valid status types are listed below:
·       Active: The district is in operation and providing instructional services.
·       Closed: The district is not in operation and no longer providing instructional services.
·       Merged: The district has combined with another district or districts.
·       Pending: The district has not opened for operation and instructional services yet, but plans to open within the next 9–12 months."
175,california_schools,schools.csv,County,,County name,text,
176,california_schools,schools.csv,District,,District,text,
177,california_schools,schools.csv,School,,School,text,
178,california_schools,schools.csv,Street,,Street,text,
179,california_schools,schools.csv,StreetAbr,street address ,"The abbreviated street address of the school, district, or administrative authority’s physical location.",text,"The abbreviated street address of the school, district, or administrative authority’s physical location. Note: Some records (primarily records of closed or retired schools) may not have data in this field."
180,california_schools,schools.csv,City,,City,text,
181,california_schools,schools.csv,Zip,,Zip,text,
182,california_schools,schools.csv,State,,State,text,
183,california_schools,schools.csv,MailStreet,,MailStreet,text,"The unabbreviated mailing address of the school, district, or administrative authority. Note: 1) Some entities (primarily closed or retired schools) may not have data in this field; 2) Many active entities have not provided a mailing street address. For your convenience we have filled the unpopulated MailStreet cells with Street data."
184,california_schools,schools.csv,MailStrAbr,mailing street address ,,text,"the abbreviated mailing street address of the school, district, or administrative authority.Note: Many active entities have not provided a mailing street address. For your convenience we have filled the unpopulated MailStrAbr cells with StreetAbr data."
185,california_schools,schools.csv,MailCity,mailing city,,text,"The city associated with the mailing address of the school, district, or administrative authority. Note: Many entities have not provided a mailing address city. For your convenience we have filled the unpopulated MailCity cells with City data."
186,california_schools,schools.csv,MailZip,mailing zip ,,text,"The zip code associated with the mailing address of the school, district, or administrative authority. Note: Many entities have not provided a mailing address zip code. For your convenience we have filled the unpopulated MailZip cells with Zip data."
187,california_schools,schools.csv,MailState,mailing state,,text,The state within the mailing address. For your convenience we have filled the unpopulated MailState cells with State data.
188,california_schools,schools.csv,Phone,,Phone,text,
189,california_schools,schools.csv,Ext,extension,"The phone number extension of the school, district, or administrative authority.",text,"The phone number extension of the school, district, or administrative authority."
190,california_schools,schools.csv,Website,,"The website address of the school, district, or administrative authority.",text,"The website address of the school, district, or administrative authority."
191,california_schools,schools.csv,OpenDate,,The date the school opened.,date,
192,california_schools,schools.csv,ClosedDate,,The date the school closed.,date,
193,california_schools,schools.csv,Charter,,This field identifies a charter school. ,integer,"The field is coded as follows:

·       1 = The school is a charter

·       0 = The school is not a charter"
194,california_schools,schools.csv,CharterNum,,"The charter school number,",text,4-digit number assigned to a charter school.
195,california_schools,schools.csv,FundingType,,Indicates the charter school funding type,text,"Values are as follows:

·       Not in CS (California School) funding model

·       Locally funded

·       Directly funded"
196,california_schools,schools.csv,DOC,District Ownership Code,District Ownership Code,text,"The District Ownership Code (DOC) is the numeric code used to identify the category of the Administrative Authority.
•       00 - County Office of Education
•       02 – State Board of Education
•       03 – Statewide Benefit Charter
•       31 – State Special Schools
•       34 – Non-school Location*
•       52 – Elementary School District
•       54 – Unified School District
•       56 – High School District
•       98 – Regional Occupational Center/Program (ROC/P)
commonsense evidence:
*Only the California Education Authority has been included in the non-school location category."
197,california_schools,schools.csv,DOCType,The District Ownership Code Type,The District Ownership Code Type is the text description of the DOC category.,text,(See text values in DOC field description above)
198,california_schools,schools.csv,SOC,School Ownership Code,The School Ownership Code is a numeric code used to identify the type of school.,text,"•      08 - Preschool      
•       09 – Special Education Schools (Public)
•      11 – Youth Authority Facilities (CEA)
•       13 – Opportunity Schools
•       14 – Juvenile Court Schools
•       15 – Other County or District Programs
•       31 – State Special Schools
•       60 – Elementary School (Public)
•       61 – Elementary School in 1 School District (Public)
•       62 – Intermediate/Middle Schools (Public)
•       63 – Alternative Schools of Choice
•       64 – Junior High Schools (Public)
•       65 – K-12 Schools (Public)
•       66 – High Schools (Public)
•       67 – High Schools in 1 School District (Public)
•       68 – Continuation High Schools
•       69 – District Community Day Schools
•       70 – Adult Education Centers
•       98 – Regional Occupational Center/Program (ROC/P)"
199,california_schools,schools.csv,SOCType,School Ownership Code Type,The School Ownership Code Type is the text description of the type of school.,text,The School Ownership Code Type is the text description of the type of school.
200,california_schools,schools.csv,EdOpsCode,Education Option Code,The Education Option Code is a short text description of the type of education offered.,text,"
•      ALTSOC – Alternative School of Choice
•      COMM – County Community School
•       COMMDAY – Community Day School
•       CON – Continuation School
•       JUV – Juvenile Court School
•       OPP – Opportunity School
•       YTH – Youth Authority School
•       SSS – State Special School
•       SPEC – Special Education School
•       TRAD – Traditional
•       ROP – Regional Occupational Program
•       HOMHOS – Home and Hospital
•       SPECON – District Consortia Special Education School"
201,california_schools,schools.csv,EdOpsName,Educational Option Name,Educational Option Name,text,The Educational Option Name is the long text description of the type of education being offered.
202,california_schools,schools.csv,EILCode,Educational Instruction Level Code,The Educational Instruction Level Code is a short text description of the institution's type relative to the grade range served.,text,"•       A – Adult
•       ELEM – Elementary
•       ELEMHIGH – Elementary-High Combination
•       HS – High School
•       INTMIDJR – Intermediate/Middle/Junior High
•       PS – Preschool
•       UG – Ungraded"
203,california_schools,schools.csv,EILName,Educational Instruction Level Name ,The Educational Instruction Level Name is the long text description of the institution’s type relative to the grade range served.,text,The Educational Instruction Level Name is the long text description of the institution’s type relative to the grade range served.
204,california_schools,schools.csv,GSoffered,grade span offered,"The grade span offered is the lowest grade and the highest grade offered or supported by the school, district, or administrative authority. This field might differ from the grade span served as reported in the most recent certified California Longitudinal Pupil Achievement (CALPADS) Fall 1 data collection.",text,"For example XYZ School might display the following data:

GSoffered = P–Adult

GSserved = K–12"
205,california_schools,schools.csv,GSserved,grade span served.,It is the lowest grade and the highest grade of student enrollment as reported in the most recent certified CALPADS Fall 1 data collection. Only K–12 enrollment is reported through CALPADS. This field may differ from the grade span offered.,text,"commonsense evidence:

1.     Only K–12 enrollment is reported through CALPADS

2.     Note: Special programs at independent study, alternative education, and special education schools will often exceed the typical grade span for schools of that type"
206,california_schools,schools.csv,Virtual,,"This field identifies the type of virtual instruction offered by the school. Virtual instruction is instruction in which students and teachers are separated by time and/or location, and interaction occurs via computers and/or telecommunications technologies. ",text,"The field is coded as follows:

·       F = Exclusively Virtual – The school has no physical building where students meet with each other or with teachers, all instruction is virtual.

·       V = Primarily Virtual – The school focuses on a systematic program of virtual instruction but includes some physical meetings among students or with teachers.

·       C = Primarily Classroom – The school offers virtual courses but virtual instruction is not the primary means of instruction.

·       N = Not Virtual – The school does not offer any virtual instruction.

·       P = Partial Virtual – The school offers some, but not all, instruction through virtual instruction. Note: This value was retired and replaced with the Primarily Virtual and Primarily Classroom values beginning with the 2016–17 school year."
207,california_schools,schools.csv,Magnet,,This field identifies whether a school is a magnet school and/or provides a magnet program. ,text,"The field is coded as follows:

·       Y = Magnet - The school is a magnet school and/or offers a magnet program.

·       N = Not Magnet - The school is not a magnet school and/or does not offer a magnet program.

commonsense evidence:

Note: Preschools and adult education centers do not contain a magnet school indicator."
208,california_schools,schools.csv,Latitude,,"The angular distance (expressed in degrees) between the location of the school, district, or administrative authority and the equator measured north to south.",real,"The angular distance (expressed in degrees) between the location of the school, district, or administrative authority and the equator measured north to south."
209,california_schools,schools.csv,Longitude,,"The angular distance (expressed in degrees) between the location of the school, district, or administrative authority and the prime meridian (Greenwich, England) measured from west to east.",real,"The angular distance (expressed in degrees) between the location of the school, district, or administrative authority and the prime meridian (Greenwich, England) measured from west to east."
210,california_schools,schools.csv,AdmFName1,administrator's first name,administrator's first name,text,"The superintendent’s or principal’s first name.

commonsense evidence:

Only active and pending districts and schools will display administrator information, if applicable."
211,california_schools,schools.csv,AdmLName1,administrator's last name,administrator's last name,text,"The superintendent’s or principal’s last name.

commonsense evidence:
Only active and pending districts and schools will display administrator information, if applicable."
212,california_schools,schools.csv,AdmEmail1,administrator's email address,administrator's email address,text,"The superintendent’s or principal’s email address.

commonsense evidence:

Only active and pending districts and schools will display administrator information, if applicable."
213,california_schools,schools.csv,AdmFName2,,,text,SAME as 1
214,california_schools,schools.csv,AdmLName2,,,text,
215,california_schools,schools.csv,AdmEmail2,,,text,
216,california_schools,schools.csv,AdmFName3,,,text,not useful
217,california_schools,schools.csv,AdmLName3,,,text,not useful
218,california_schools,schools.csv,AdmEmail3,,,text,not useful
219,california_schools,schools.csv,LastUpdate,,,date,when is this record updated last time
220,california_schools,satscores.csv,cds,,California Department Schools,text,
221,california_schools,satscores.csv,rtype,,rtype,text,unuseful
222,california_schools,satscores.csv,sname,school name,school name,text,
223,california_schools,satscores.csv,dname,district name,district segment,text,
224,california_schools,satscores.csv,cname,county name,county name,text,
225,california_schools,satscores.csv,enroll12,enrollment (1st-12nd grade),enrollment (1st-12nd grade),integer,
226,california_schools,satscores.csv,NumTstTakr,Number of Test Takers,Number of Test Takers in this school,integer,number of test takers in each school
227,california_schools,satscores.csv,AvgScrRead,average scores in Reading,average scores in Reading,integer,average scores in Reading
228,california_schools,satscores.csv,AvgScrMath,average scores in Math,average scores in Math,integer,average scores in Math
229,california_schools,satscores.csv,AvgScrWrite,average scores in writing,average scores in writing,integer,average scores in writing
230,california_schools,satscores.csv,NumGE1500,Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500,Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500,integer,"Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500

commonsense evidence:

Excellence Rate = NumGE1500 / NumTstTakr"
231,california_schools,frpm.csv,CDSCode,,CDSCode,integer,
232,california_schools,frpm.csv,Academic Year,,Academic Year,integer ,
233,california_schools,frpm.csv,County Code,,County Code,integer,
234,california_schools,frpm.csv,District Code,,District Code,integer,
235,california_schools,frpm.csv,School Code ,,School Code,integer,
236,california_schools,frpm.csv,County Name,,County Code ,text,
237,california_schools,frpm.csv,District Name ,,District Name ,text,
238,california_schools,frpm.csv,School Name,,School Name ,text,
239,california_schools,frpm.csv,District Type,,District Type,text,
240,california_schools,frpm.csv,School Type ,,School Type ,text,
241,california_schools,frpm.csv,Educational Option Type,,Educational Option Type,text,
242,california_schools,frpm.csv,NSLP Provision Status,,NSLP Provision Status,text,
243,california_schools,frpm.csv,Charter School (Y/N),,Charter School (Y/N),integer,"0: N;
1: Y"
244,california_schools,frpm.csv,Charter School Number,,Charter School Number,text,
245,california_schools,frpm.csv,Charter Funding Type,,Charter Funding Type,text,
246,california_schools,frpm.csv,IRC,,,integer,Not useful
247,california_schools,frpm.csv,Low Grade,,Low Grade,text,
248,california_schools,frpm.csv,High Grade,,High Grade,text,
249,california_schools,frpm.csv,Enrollment (K-12),,Enrollment (K-12),real,"commonsense evidence:

K-12: 1st grade - 12nd grade "
250,california_schools,frpm.csv,Free Meal Count (K-12),,Free Meal Count (K-12),real,"commonsense evidence:

eligible free rate = Free Meal Count / Enrollment"
251,california_schools,frpm.csv,Percent (%) Eligible Free (K-12),,,real,
252,california_schools,frpm.csv,FRPM Count (K-12),,Free or Reduced Price Meal Count (K-12),real,"commonsense evidence:

eligible FRPM rate = FRPM / Enrollment"
253,california_schools,frpm.csv,Percent (%) Eligible FRPM (K-12),,,real,
254,california_schools,frpm.csv,Enrollment (Ages 5-17),,Enrollment (Ages 5-17),real,
255,california_schools,frpm.csv,Free Meal Count (Ages 5-17),,Free Meal Count (Ages 5-17),real,"commonsense evidence:

eligible free rate = Free Meal Count / Enrollment"
256,california_schools,frpm.csv, Percent (%) Eligible Free (Ages 5-17),,,real,
257,california_schools,frpm.csv,FRPM Count (Ages 5-17),,,real,
258,california_schools,frpm.csv,Percent (%) Eligible FRPM (Ages 5-17),,,real,
259,california_schools,frpm.csv,2013-14 CALPADS Fall 1 Certification Status,,2013-14 CALPADS Fall 1 Certification Status,integer,
260,card_games,ruling.csv,id,,unique id identifying this ruling,integer,
261,card_games,ruling.csv,date,,date ,date,
262,card_games,ruling.csv,text,,description about this ruling,text,
263,card_games,ruling.csv,uuid,,,text,
264,card_games,set_transactions.csv,id,,unique id identifying this set,integer,
265,card_games,set_transactions.csv,language,,language of this card,text,
266,card_games,set_transactions.csv,setCode,set code,the set code for this set,text,
267,card_games,set_transactions.csv,translation,,translation of this card,text,
268,card_games,legalities.csv,id,,unique id identifying this legality,integer,
269,card_games,legalities.csv,format,,format of play,text,each value refers to different rules to play
270,card_games,legalities.csv,status,,,text,"• legal
• banned
• restricted"
271,card_games,legalities.csv,uuid,,,text,
272,card_games,cards.csv,id,unique id number identifying the cards,,integer,
273,card_games,cards.csv,artist,,The name of the artist that illustrated the card art.,text,
274,card_games,cards.csv,asciiName,ascii Name,The ASCII(opens new window) (Basic/128) code formatted card name with no special unicode characters.,text,
275,card_games,cards.csv,availability,,A list of the card's available printing types.,text,"""arena"", ""dreamcast"", ""mtgo"", ""paper"", ""shandalar"""
276,card_games,cards.csv,borderColor,border Color,The color of the card border.,text,"""black"", ""borderless"", ""gold"", ""silver"", ""white"""
277,card_games,cards.csv,cardKingdomFoilId,card Kingdom Foil Id,card Kingdom Foil Id,text,"commonsense evidence:
cardKingdomFoilId, when paired with cardKingdomId that is not Null, is incredibly powerful. "
278,card_games,cards.csv,cardKingdomId,card Kingdom Id,card Kingdom Id,text,A list of all the colors in the color indicator
279,card_games,cards.csv,colorIdentity,color Identity,"A list of all the colors found in manaCost, colorIndicator, and text",text,
